date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-04-26,3.8628,4.45,3.8446,4.11,1.7692,200570.0,1226,2.0753999999999997,342.81466798810675,False,False
2024-07-17,2.4,2.4,2.4,2.4,2.5636,264.0,4,0.1636000000000002,,False,False
2024-07-03,2.5,2.5,2.5,2.5,2.4184,906.0,26,0.0815999999999999,,False,False
2024-08-08,2.0,2.0001,1.99,2.0001,1.9478,3637.0,9,0.042200000000000015,417.8217821782089,False,False
2024-05-30,3.23,3.25,3.23,3.25,3.2143,3218.0,40,0.015699999999999825,78.49999999999906,False,False
2024-04-25,3.85,3.8723,3.85,3.8723,3.8801,4162.0,47,0.007800000000000029,34.97757847533647,False,False
2024-10-01,0.0,0.0,0.0,0.0,0.0033,602.0,2,0.0033,,True,True
2024-12-17,0.0,0.0,0.0,0.0,0.0025,240.0,8,0.0025,,True,True
2024-06-28,2.62,2.64,2.62,2.64,2.6416,795.0,19,0.0015999999999998238,7.999999999999112,False,False
2024-07-08,2.3,2.3,2.3,2.3,2.2985,3025.0,29,0.0014999999999996128,,False,False
2024-12-04,0.0001,0.0001,0.0001,0.0001,0.0013,165.0,5,0.0012,,False,False
2024-08-26,0.0003,0.0003,0.0003,0.0003,0.0012,1744.0,22,0.0009,,False,False
2024-09-20,0.0003,0.0003,0.0003,0.0003,0.0008,626.0,15,0.0005,,False,False
2024-10-15,0.0,0.0,0.0,0.0,0.0005,520.0,4,0.0005,,True,True
2024-12-20,0.0002,0.0002,0.0002,0.0002,0.0005,592.0,8,0.00030000000000000003,,False,False
2024-08-20,0.03,0.03,0.03,0.03,0.0298,536.0,6,0.0001999999999999988,,False,False
2024-11-25,0.0,0.0,0.0,0.0,0.0001,297.0,5,0.0001,,True,True
2024-12-24,0.0001,0.0001,0.0001,0.0001,0.0002,18462.0,9,0.0001,,False,False
2024-12-23,0.0002,0.0002,0.0002,0.0002,0.0003,1291.0,5,9.999999999999996e-05,,False,False
2024-12-02,0.0,0.01,0.0,0.0002,0.0031,677.0,20,0.0,0.0,True,True
2024-08-13,0.0,0.0001,0.0,0.0001,,1449.0,5,,,True,True
