date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-10-30,0.92,0.92,0.92,0.92,0.902,255.0,2,0.018000000000000016,,False,False
2024-01-03,0.76,0.76,0.76,0.76,0.7632,230.0,5,0.0031999999999999806,,False,False
2024-01-09,0.8,0.8,0.8,0.8,0.799,105.0,2,0.0010000000000000009,,False,False
2024-07-09,1.06,1.06,1.06,1.06,1.0593,1224.0,3,0.000700000000000145,,False,False
2024-02-13,0.85,0.85,0.85,0.85,0.8507,351.0,4,0.0007000000000000339,,False,False
2024-05-02,1.07,1.07,1.07,1.07,1.0694,206.0,3,0.000600000000000156,,False,False
2024-05-31,1.06,1.06,1.06,1.06,1.0596,1041.0,3,0.00039999999999995595,,False,False
2024-12-02,0.72,0.72,0.72,0.72,0.7203,2076.0,6,0.000300000000000078,,False,False
2024-02-06,0.87,0.87,0.87,0.87,0.8697,720.0,2,0.00029999999999996696,,False,False
2024-06-03,1.05,1.05,1.05,1.05,1.0503,106.0,2,0.00029999999999996696,,False,False
2024-05-13,1.065,1.065,1.065,1.065,1.0648,513.0,3,0.00019999999999997797,,False,False
2024-12-24,0.46,0.46,0.46,0.46,0.4602,5070.0,3,0.00019999999999997797,,False,False
2024-06-04,1.15,1.15,1.15,1.15,1.1499,51223.0,8,9.999999999998899e-05,,False,False
2024-12-12,0.67,0.67,0.67,0.67,0.6699,101.0,2,9.999999999998899e-05,,False,False
2024-11-27,0.0,0.9,0.0,0.0,0.7496,1205.0,3,0.0,0.0,True,True
