date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2026-01-27,0.0001,0.0001,0.0,0.0,0.0001,23042366.0,39,0.0,0.0,True,True
2026-01-28,0.0001,0.0001,0.0,0.0001,0.0001,11274795.0,34,0.0,0.0,True,True
2026-01-29,0.0001,0.0001,0.0,0.0,0.0001,27244720.0,51,0.0,0.0,True,True
2026-02-03,0.0001,0.0001,0.0,0.0,0.0001,43838787.0,23,0.0,0.0,True,True
2026-02-11,0.0001,0.0001,0.0,0.0001,0.0001,9139416.0,35,0.0,0.0,True,True
2026-02-13,0.0001,0.0002,0.0,0.0001,0.0001,36799411.0,77,0.0,0.0,True,True
2026-02-18,0.0001,0.0001,0.0,0.0001,0.0001,5506998.0,7,0.0,0.0,True,True
2026-03-02,0.0001,0.0001,0.0,0.0001,0.0001,31757079.0,28,0.0,0.0,True,True
2026-02-20,0.0001,0.0001,0.0,0.0001,,47729657.0,35,,,True,True
2026-02-23,0.0001,0.0002,0.0,0.0001,,105695433.0,50,,,True,True
