date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-01-15,0.07,0.07,0.07,0.07,0.0779,7161.0,10,0.00789999999999999,,False,False
2025-08-05,0.2,0.2,0.2,0.2,0.1929,593.0,8,0.007100000000000023,,False,False
2025-11-06,0.09,0.0945,0.09,0.0945,0.083,396.0,8,0.006999999999999992,155.55555555555526,False,False
2025-11-10,0.011,0.1,0.011,0.09,0.0041,14920.0,18,0.006899999999999999,7.752808988764044,False,False
2025-03-20,0.09,0.09,0.09,0.09,0.0837,179.0,3,0.0063,,False,False
2025-05-16,0.1,0.1,0.1,0.1,0.0943,1181.0,8,0.005700000000000011,,False,False
2025-04-29,0.1,0.1,0.1,0.1,0.0955,1696.0,7,0.004500000000000004,,False,False
2025-05-08,0.085,0.085,0.085,0.085,0.0805,166.0,7,0.004500000000000004,,False,False
2025-06-30,0.0777,0.0777,0.0777,0.0777,0.0816,4102.0,36,0.0039000000000000007,,False,False
2025-06-16,0.09,0.09,0.09,0.09,0.0864,354.0,14,0.003599999999999992,,False,False
2025-05-29,0.07,0.07,0.07,0.07,0.0725,433.0,13,0.0024999999999999883,,False,False
2025-07-17,0.1,0.1,0.1,0.1,0.0976,2069.0,23,0.0023999999999999994,,False,False
2025-08-22,0.1,0.1,0.1,0.1,0.0976,1098.0,13,0.0023999999999999994,,False,False
2025-03-10,0.0656,0.0656,0.0656,0.0656,0.0633,209.0,7,0.0023000000000000104,,False,False
2025-06-25,0.09,0.09,0.09,0.09,0.0923,430.0,14,0.0022999999999999965,,False,False
2025-05-02,0.09,0.09,0.09,0.09,0.0878,1901.0,8,0.0021999999999999936,,False,False
2025-10-02,0.062,0.062,0.062,0.062,0.0641,291.0,9,0.0021000000000000046,,False,False
2025-10-06,0.0635,0.0645,0.0635,0.0645,0.0664,515.0,14,0.001899999999999999,189.99999999999972,False,False
2025-02-07,0.1,0.1,0.1,0.1,0.0981,1827.0,9,0.001899999999999999,,False,False
2025-08-15,0.07,0.07,0.07,0.07,0.0719,799.0,9,0.001899999999999999,,False,False
2025-07-03,0.07,0.07,0.07,0.07,0.0717,445.0,12,0.0016999999999999932,,False,False
2025-02-26,0.068,0.068,0.068,0.068,0.0664,140.0,4,0.0016000000000000042,,False,False
2025-08-18,0.1,0.1,0.1,0.1,0.0984,1049.0,15,0.0016000000000000042,,False,False
2025-08-13,0.1,0.1,0.1,0.1,0.0988,1061.0,7,0.0012000000000000066,,False,False
2025-01-13,0.07,0.07,0.07,0.07,0.0712,399.0,10,0.0011999999999999927,,False,False
2025-05-28,0.085,0.085,0.085,0.085,0.0839,370.0,6,0.0011000000000000038,,False,False
2025-06-20,0.07,0.07,0.07,0.07,0.071,1166.0,10,0.000999999999999987,,False,False
2025-06-02,0.07,0.07,0.07,0.07,0.0709,423.0,14,0.000899999999999998,,False,False
2025-02-20,0.0701,0.0702,0.0701,0.0702,0.071,970.0,15,0.0007999999999999952,799.9999999999723,False,False
2025-08-04,0.0901,0.0901,0.0901,0.0901,0.0893,317.0,6,0.0007999999999999952,,False,False
2025-04-24,0.061,0.061,0.061,0.061,0.0617,3112.0,4,0.0006999999999999992,,False,False
2025-10-10,0.062,0.062,0.062,0.062,0.0625,392.0,15,0.0005000000000000004,,False,False
2025-11-04,0.001,0.001,0.001,0.001,0.0015,1088.0,12,0.0005,,False,False
2025-11-12,0.0011,0.0011,0.0011,0.0011,0.0016,648.0,6,0.0005,,False,False
2025-10-15,0.0635,0.0635,0.0635,0.0635,0.0631,427.0,9,0.0003999999999999976,,False,False
2025-08-29,0.0801,0.0801,0.0801,0.0801,0.0798,1150.0,9,0.0003000000000000086,,False,False
2025-02-21,0.05,0.05,0.05,0.05,0.0497,661.0,2,0.00030000000000000165,,False,False
2025-09-08,0.061,0.061,0.061,0.061,0.0613,15228.0,18,0.00030000000000000165,,False,False
2025-12-12,0.02,0.02,0.02,0.02,0.0203,465.0,5,0.0002999999999999982,,False,False
2025-07-31,0.0751,0.0751,0.0751,0.0751,0.0754,462.0,11,0.0002999999999999947,,False,False
2025-02-06,0.0635,0.0635,0.0635,0.0635,0.0637,1851.0,7,0.00020000000000000573,,False,False
2025-09-23,0.062,0.062,0.062,0.062,0.0622,1763.0,12,0.0001999999999999988,,False,False
2025-01-16,0.07,0.07,0.07,0.07,0.0702,497.0,6,0.00019999999999999185,,False,False
2025-04-28,0.065,0.065,0.065,0.065,0.0652,1446.0,8,0.00019999999999999185,,False,False
2025-05-01,0.0965,0.0965,0.0965,0.0965,0.0967,130.0,7,0.00019999999999999185,,False,False
2025-06-04,0.07,0.07,0.07,0.07,0.0702,1250.0,9,0.00019999999999999185,,False,False
2025-07-02,0.0777,0.0777,0.0777,0.0777,0.0779,952.0,97,0.00019999999999999185,,False,False
2025-08-08,0.1001,0.1001,0.1001,0.1001,0.0999,2576.0,63,0.00019999999999999185,,False,False
2025-01-30,0.1,0.1,0.1,0.1,0.0999,5821.0,12,0.00010000000000000286,,False,False
2025-02-13,0.081,0.081,0.081,0.081,0.0811,237.0,23,0.00010000000000000286,,False,False
2025-04-01,0.061,0.061,0.061,0.061,0.0611,112.0,9,0.00010000000000000286,,False,False
2025-04-17,0.0615,0.0615,0.0615,0.0615,0.0616,953.0,4,0.00010000000000000286,,False,False
2025-05-15,0.07,0.07,0.07,0.07,0.0699,1401.0,4,0.00010000000000000286,,False,False
2025-07-22,0.0751,0.0751,0.0751,0.0751,0.0752,696.0,12,0.00010000000000000286,,False,False
2025-08-21,0.0751,0.0751,0.0751,0.0751,0.075,20002.0,6,0.00010000000000000286,,False,False
2025-09-15,0.063,0.063,0.063,0.063,0.0631,3481.0,28,0.00010000000000000286,,False,False
2025-10-22,0.0635,0.0635,0.0635,0.0635,0.0634,754.0,10,0.00010000000000000286,,False,False
2025-12-29,0.011,0.011,0.011,0.011,0.0111,1253.0,10,0.00010000000000000113,,False,False
