date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2023-03-29,0.55,0.55,0.55,0.55,0.48,205.0,4,0.07000000000000006,,False,False
2023-05-15,0.1569,0.1569,0.1569,0.1569,0.1864,349.0,6,0.0295,,False,False
2023-03-24,0.375,0.375,0.375,0.375,0.4014,247.0,4,0.02639999999999998,,False,False
2023-01-19,0.795,0.795,0.795,0.795,0.7716,416.0,5,0.023400000000000087,,False,False
2023-03-31,0.6,0.6,0.6,0.6,0.5926,104.0,4,0.007399999999999962,,False,False
2023-05-01,0.175,0.175,0.175,0.175,0.1821,1136.0,9,0.007100000000000023,,False,False
2023-02-23,0.68,0.68,0.68,0.68,0.6729,207.0,3,0.007099999999999995,,False,False
2023-07-10,0.2825,0.2825,0.2825,0.2825,0.2765,115.0,6,0.00599999999999995,,False,False
2023-06-15,0.2,0.2,0.2,0.2,0.205,184.0,4,0.004999999999999977,,False,False
2023-04-20,0.2988,0.2988,0.2988,0.2988,0.2958,514.0,3,0.0030000000000000027,,False,False
2023-03-08,0.72,0.72,0.72,0.72,0.7177,102.0,3,0.0022999999999999687,,False,False
2023-02-06,0.48,0.48,0.48,0.48,0.4815,16065.0,202,0.0015000000000000013,,False,False
2023-04-14,0.25,0.25,0.25,0.25,0.2485,1527.0,5,0.0015000000000000013,,False,False
2023-07-06,0.23,0.23,0.23,0.23,0.2312,163.0,6,0.0011999999999999789,,False,False
2023-01-04,0.5,0.5,0.5,0.5,0.5009,864.0,8,0.0009000000000000119,,False,False
2023-01-30,0.5,0.5,0.5,0.5,0.5007,759.0,8,0.0007000000000000339,,False,False
2023-06-09,0.195,0.195,0.195,0.195,0.1956,856.0,3,0.0005999999999999894,,False,False
2023-01-25,0.575,0.575,0.575,0.575,0.5745,327.0,4,0.0004999999999999449,,False,False
2023-07-17,0.18,0.18,0.18,0.18,0.1802,1003.0,2,0.00020000000000000573,,False,False
2023-01-24,0.65,0.6501,0.65,0.6501,0.6498,2210.0,3,0.00019999999999997797,200.0,False,False
2023-04-13,0.25,0.25,0.25,0.25,0.2502,2119.0,5,0.00019999999999997797,,False,False
2023-02-03,0.48,0.48,0.48,0.48,0.4801,141.0,3,0.0001000000000000445,,False,False
2023-06-20,0.22,0.22,0.22,0.22,0.2199,153.0,4,9.999999999998899e-05,,False,False
2023-06-28,0.2087,0.2087,0.2087,0.2087,0.2086,252.0,2,9.999999999998899e-05,,False,False
2023-12-14,0.0003,0.0003,0.0,0.0,0.0002,5150.0,3,0.0,0.0,True,True
2023-11-14,0.0,0.0,0.0,0.0,,115.0,1,,,True,True
2023-11-17,0.0,0.0,0.0,0.0,,1500.0,1,,,True,True
2023-12-06,0.0,0.0,0.0,0.0,,1210.0,1,,,True,True
2023-12-27,0.0,0.0,0.0,0.0,,928.0,1,,,True,True
