date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2023-01-03,0.0001,0.0001,0.0,0.0,0.0001,1003501.0,5,0.0,0.0,True,True
2023-01-11,0.0,0.0001,0.0,0.0,0.0001,13168.0,18,0.0,0.0,True,True
2023-02-10,0.0,0.0001,0.0,0.0,0.0001,318220.0,10,0.0,0.0,True,True
2023-02-14,0.0,0.0001,0.0,0.0001,0.0001,95966.0,13,0.0,0.0,True,True
2023-02-21,0.0001,0.0001,0.0,0.0,0.0001,196554.0,12,0.0,0.0,True,True
2023-03-06,0.0001,0.0001,0.0,0.0001,0.0001,250972.0,9,0.0,0.0,True,True
2023-03-13,0.0,0.0001,0.0,0.0,0.0001,27002.0,9,0.0,0.0,True,True
2023-03-29,0.0,0.0001,0.0,0.0,0.0001,258500.0,4,0.0,0.0,True,True
2023-05-12,0.0,0.0001,0.0,0.0,0.0001,111057.0,4,0.0,0.0,True,True
2023-07-12,0.0,0.0001,0.0,0.0,0.0001,956.0,2,0.0,0.0,True,True
2023-11-29,0.0,0.0001,0.0,0.0,0.0001,20011480.0,6,0.0,0.0,True,True
2023-01-05,0.0,0.0,0.0,0.0,,291.0,2,,,True,True
2023-01-06,0.0,0.0,0.0,0.0,,200.0,1,,,True,True
2023-01-09,0.0,0.0,0.0,0.0,,105454.0,3,,,True,True
2023-01-12,0.0,0.0,0.0,0.0,,158595.0,3,,,True,True
2023-01-13,0.0,0.0,0.0,0.0,,3908191.0,5,,,True,True
2023-01-17,0.0,0.0,0.0,0.0,,11511.0,1,,,True,True
2023-01-18,0.0,0.0,0.0,0.0,,8500.0,3,,,True,True
2023-01-23,0.0,0.0,0.0,0.0,,1305560.0,3,,,True,True
2023-01-27,0.0,0.0,0.0,0.0,,443432.0,3,,,True,True
2023-03-07,0.0,0.0001,0.0,0.0,,11530.0,10,,,True,True
2023-03-08,0.0,0.0,0.0,0.0,,3080.0,2,,,True,True
2023-03-10,0.0,0.0001,0.0,0.0,,14845.0,8,,,True,True
2023-03-17,0.0,0.0,0.0,0.0,,10038.0,2,,,True,True
2023-03-20,0.0,0.0,0.0,0.0,,15000.0,1,,,True,True
2023-03-21,0.0,0.0,0.0,0.0,,473.0,3,,,True,True
