date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-02-07,0.0361,0.0361,0.0361,0.0361,0.0347,211.0,5,0.0013999999999999985,,False,False
2025-01-31,0.0288,0.0288,0.0288,0.0288,0.0298,118.0,2,0.0010000000000000009,,False,False
2025-11-13,0.005,0.005,0.005,0.005,0.0052,610.0,2,0.00019999999999999966,,False,False
2025-01-30,0.034,0.034,0.034,0.034,0.0342,180.0,2,0.0001999999999999988,,False,False
2025-02-26,0.035,0.035,0.035,0.035,0.0349,1679.0,27,0.00010000000000000286,,False,False
2025-10-14,0.0075,0.0075,0.0075,0.0075,0.0076,1417.0,3,0.00010000000000000026,,False,False
2025-11-03,0.005,0.005,0.005,0.005,0.0051,1201.0,2,0.00010000000000000026,,False,False
2025-12-22,0.005,0.005,0.005,0.005,0.0051,867.0,4,0.00010000000000000026,,False,False
2025-03-13,0.0251,0.0251,0.0251,0.0251,0.0252,1547.0,29,9.99999999999994e-05,,False,False
2025-06-24,0.0,0.01,0.0,0.01,0.005,3031.0,4,0.0,0.0,True,True
2025-12-31,0.0001,0.0001,0.0,0.0,,8101.0,5,,,True,True
