date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-04-03,0.0001,0.0001,0.0001,0.0001,0.0008,122.0,3,0.0007,,False,False
2025-03-13,0.0,0.0,0.0,0.0,0.0002,502.0,3,0.0002,,True,True
2025-04-01,0.0001,0.0001,0.0001,0.0001,0.0003,408.0,2,0.00019999999999999998,,False,False
2025-06-10,0.0001,0.0001,0.0001,0.0001,0.0003,482.0,4,0.00019999999999999998,,False,False
2025-05-28,0.0001,0.0001,0.0001,0.0001,0.0002,1351.0,4,0.0001,,False,False
2025-06-02,0.0001,0.0001,0.0001,0.0001,0.0002,1278.0,5,0.0001,,False,False
2025-02-12,0.0,0.0001,0.0,0.0,0.0001,2040.0,4,0.0,0.0,True,True
2025-09-05,0.0,0.0001,0.0,0.0001,0.0001,5846.0,5,0.0,0.0,True,True
2025-10-08,0.0,0.0001,0.0,0.0001,0.0001,4477.0,7,0.0,0.0,True,True
2025-01-15,0.0,0.0003,0.0,0.0,,69256.0,2,,,True,True
2025-01-22,0.0,0.0,0.0,0.0,,265.0,1,,,True,True
2025-02-10,0.0,0.0,0.0,0.0,,250.0,1,,,True,True
2025-03-31,0.0,0.0001,0.0,0.0001,,2649.0,4,,,True,True
2025-04-16,0.0,0.0,0.0,0.0,,301.0,2,,,True,True
2025-04-21,0.0,0.0,0.0,0.0,,800.0,1,,,True,True
2025-04-23,0.0,0.0,0.0,0.0,,167.0,1,,,True,True
2025-05-16,0.0,0.0,0.0,0.0,,375.0,1,,,True,True
2025-05-27,0.0,0.0001,0.0,0.0,,5879.0,8,,,True,True
2025-06-27,0.0,0.0,0.0,0.0,,2000.0,1,,,True,True
2025-07-24,0.0,0.0,0.0,0.0,,12040.0,3,,,True,True
2025-08-05,0.0,0.0,0.0,0.0,,600.0,2,,,True,True
2025-08-13,0.0,0.0,0.0,0.0,,10000.0,1,,,True,True
2025-08-18,0.0,0.0,0.0,0.0,,550.0,1,,,True,True
2025-08-25,0.0,0.0001,0.0,0.0001,,1981.0,4,,,True,True
2025-09-11,0.0,0.0,0.0,0.0,,21060.0,4,,,True,True
2025-09-19,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2025-09-23,0.0,0.0,0.0,0.0,,125.0,1,,,True,True
2025-12-03,0.0,0.0,0.0,0.0,,175.0,2,,,True,True
2025-12-29,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
