date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-10-23,0.0002,0.0002,0.0002,0.0002,0.0015,790.0,11,0.0013,,False,False
2025-12-29,0.0001,0.0001,0.0001,0.0001,0.0004,3307.0,17,0.00030000000000000003,,False,False
2025-05-30,0.0003,0.0003,0.0003,0.0003,0.0004,126.0,7,0.00010000000000000005,,False,False
2025-03-18,0.0,0.0,0.0,0.0,0.0001,173.0,3,0.0001,,True,True
2025-08-22,0.0001,0.0001,0.0001,0.0001,0.0002,378.0,7,0.0001,,False,False
2025-12-31,0.0001,0.0001,0.0001,0.0001,0.0002,15415.0,26,0.0001,,False,False
2025-08-01,0.0,0.0001,0.0,0.0,0.0001,41402.0,6,0.0,0.0,True,True
2025-03-12,0.0,0.0,0.0,0.0,,1815.0,4,,,True,True
2025-05-01,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2025-05-13,0.0,0.0,0.0,0.0,,900.0,1,,,True,True
2025-07-23,0.0,0.0,0.0,0.0,,1074.0,1,,,True,True
2025-08-12,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2025-08-21,0.0,0.0,0.0,0.0,,1042.0,6,,,True,True
2025-08-29,0.0,0.0,0.0,0.0,,700.0,1,,,True,True
2025-09-22,0.0,0.0,0.0,0.0,,512.0,3,,,True,True
