date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-10-31,0.0002,0.0002,0.0002,0.0002,0.0034,311.0,4,0.0031999999999999997,,False,False
2025-10-22,0.0002,0.0002,0.0002,0.0002,0.0027,204.0,3,0.0025,,False,False
2025-12-12,0.0001,0.0001,0.0001,0.0001,0.0011,1004.0,6,0.001,,False,False
2025-07-14,0.0001,0.0001,0.0001,0.0001,0.0008,751.0,4,0.0007,,False,False
2025-12-10,0.0001,0.0001,0.0001,0.0001,0.0008,1521.0,3,0.0007,,False,False
2025-06-16,0.0001,0.0001,0.0001,0.0001,0.0004,175.0,5,0.00030000000000000003,,False,False
2025-12-29,0.0001,0.0001,0.0001,0.0001,0.0003,5695.0,18,0.00019999999999999998,,False,False
2025-12-31,0.0,0.0001,0.0,0.0,0.0002,6707.0,5,0.0001,100.0,True,True
2025-05-29,0.0001,0.0001,0.0001,0.0001,0.0002,886.0,5,0.0001,,False,False
2025-06-02,0.0001,0.0001,0.0001,0.0001,0.0002,501.0,2,0.0001,,False,False
2025-02-26,0.0,0.0002,0.0,0.0,0.0002,17292.0,4,0.0,0.0,True,True
2025-01-23,0.0,0.0,0.0,0.0,,769.0,1,,,True,True
2025-02-10,0.0,0.0,0.0,0.0,,2500.0,2,,,True,True
2025-02-13,0.0,0.0,0.0,0.0,,500.0,1,,,True,True
2025-10-24,0.0,0.0,0.0,0.0,,10300.0,3,,,True,True
2025-12-18,0.0,0.0002,0.0,0.0,,2471.0,5,,,True,True
