date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-05-28,0.0001,0.0001,0.0001,0.0001,1.9347,200.0,3,1.9346,,False,False
2025-05-14,0.0001,0.0001,0.0001,0.0001,0.2787,336.0,7,0.2786,,False,False
2025-05-30,0.0001,0.0001,0.0001,0.0001,0.1973,1175.0,4,0.19720000000000001,,False,False
2025-05-08,0.0001,0.0001,0.0001,0.0001,0.154,308.0,5,0.1539,,False,False
2025-05-16,0.0001,0.0001,0.0001,0.0001,0.154,304.0,4,0.1539,,False,False
2025-05-21,0.0001,0.0001,0.0001,0.0001,0.0908,2555.0,4,0.0907,,False,False
2025-11-12,0.0001,0.0001,0.0001,0.0001,0.0049,717.0,7,0.0048,,False,False
2025-10-30,0.0001,0.0001,0.0001,0.0001,0.0039,996.0,5,0.0038,,False,False
2025-10-27,0.0001,0.0001,0.0001,0.0001,0.0035,1165.0,10,0.0034000000000000002,,False,False
2025-12-12,0.0001,0.0001,0.0001,0.0001,0.0025,3763.0,9,0.0024000000000000002,,False,False
2025-04-01,0.0001,0.0001,0.0001,0.0001,0.0016,348.0,109,0.0015,,False,False
2025-05-02,0.0002,0.0002,0.0002,0.0002,0.0011,1338.0,9,0.0009000000000000001,,False,False
2025-12-31,0.0001,0.0001,0.0001,0.0001,0.001,3015.0,23,0.0009,,False,False
2025-12-22,0.0001,0.0001,0.0001,0.0001,0.0009,3980.0,16,0.0007999999999999999,,False,False
2025-01-07,0.0001,0.0001,0.0001,0.0001,0.0002,278.0,6,0.0001,,False,False
2025-01-22,0.0001,0.0001,0.0,0.0,0.0001,200.0,2,0.0,0.0,True,True
2025-02-13,0.0,0.0,0.0,0.0,,220.0,1,,,True,True
2025-02-25,0.0,0.0,0.0,0.0,,300.0,1,,,True,True
2025-02-28,0.0,0.0,0.0,0.0,,324.0,3,,,True,True
2025-12-09,0.0001,0.0001,0.0,0.0,,1072.0,4,,,True,True
