date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-01-28,0.0,0.0001,0.0,0.0001,0.0001,262284.0,12,0.0,0.0,True,True
2025-01-30,0.0001,0.0001,0.0,0.0,0.0001,27940.0,2,0.0,0.0,True,True
2025-02-19,0.0001,0.0001,0.0,0.0,0.0001,108616.0,5,0.0,0.0,True,True
2025-03-10,0.0,0.0002,0.0,0.0,0.0001,1552284.0,7,0.0,0.0,True,True
2025-03-14,0.0,0.0001,0.0,0.0,0.0001,21073.0,6,0.0,0.0,True,True
2025-04-08,0.0001,0.0001,0.0,0.0,0.0001,25490.0,3,0.0,0.0,True,True
2025-04-09,0.0,0.0001,0.0,0.0,0.0001,2671.0,5,0.0,0.0,True,True
2025-04-10,0.0001,0.0001,0.0,0.0,0.0001,260494.0,3,0.0,0.0,True,True
2025-04-28,0.0,0.0001,0.0,0.0001,0.0001,2209.0,5,0.0,0.0,True,True
2025-06-10,0.0,0.0001,0.0,0.0,0.0001,2447.0,4,0.0,0.0,True,True
2025-07-16,0.0001,0.0001,0.0,0.0,0.0001,375540.0,13,0.0,0.0,True,True
2025-09-18,0.0,0.0001,0.0,0.0,0.0001,24121.0,6,0.0,0.0,True,True
2025-09-29,0.0001,0.0001,0.0,0.0,0.0001,178275.0,3,0.0,0.0,True,True
2025-12-04,0.0001,0.0001,0.0,0.0,0.0001,159367.0,5,0.0,0.0,True,True
2025-12-19,0.0,0.0001,0.0,0.0,0.0001,283800.0,9,0.0,0.0,True,True
2025-12-23,0.0001,0.0001,0.0,0.0,0.0001,506688.0,14,0.0,0.0,True,True
2025-12-24,0.0,0.0001,0.0,0.0001,0.0001,191965.0,28,0.0,0.0,True,True
2025-12-26,0.0001,0.0001,0.0,0.0,0.0001,189455.0,8,0.0,0.0,True,True
2025-02-05,0.0,0.0001,0.0,0.0,,36770.0,7,,,True,True
2025-02-24,0.0001,0.0001,0.0,0.0,,218147.0,4,,,True,True
2025-02-27,0.0,0.0001,0.0,0.0001,,211292.0,5,,,True,True
2025-03-07,0.0,0.0,0.0,0.0,,200.0,1,,,True,True
2025-05-07,0.0,0.0,0.0,0.0,,2035.0,3,,,True,True
2025-05-30,0.0001,0.0001,0.0,0.0001,,1694404.0,7,,,True,True
2025-06-02,0.0,0.0,0.0,0.0,,460.0,1,,,True,True
2025-06-17,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2025-06-27,0.0,0.0,0.0,0.0,,7146.0,1,,,True,True
2025-07-08,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2025-07-10,0.0,0.0,0.0,0.0,,20531.0,1,,,True,True
2025-07-15,0.0,0.0,0.0,0.0,,1149.0,3,,,True,True
2025-09-23,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2025-09-30,0.0,0.0,0.0,0.0,,36439.0,1,,,True,True
2025-10-02,0.0,0.0,0.0,0.0,,5015.0,2,,,True,True
2025-10-06,0.0,0.0,0.0,0.0,,1080.0,1,,,True,True
2025-10-07,0.0,0.0,0.0,0.0,,20000.0,1,,,True,True
2025-10-08,0.0,0.0,0.0,0.0,,100219.0,2,,,True,True
2025-10-09,0.0,0.0,0.0,0.0,,210.0,1,,,True,True
2025-10-10,0.0,0.0,0.0,0.0,,300.0,1,,,True,True
2025-10-13,0.0,0.0,0.0,0.0,,104000.0,5,,,True,True
2025-10-17,0.0,0.0,0.0,0.0,,52830.0,2,,,True,True
2025-10-22,0.0,0.0,0.0,0.0,,7000.0,1,,,True,True
2025-10-27,0.0,0.0,0.0,0.0,,5040.0,2,,,True,True
2025-10-30,0.0,0.0,0.0,0.0,,1504.0,3,,,True,True
2025-11-05,0.0,0.0,0.0,0.0,,13134.0,1,,,True,True
2025-11-06,0.0,0.0,0.0,0.0,,5000.0,1,,,True,True
2025-11-10,0.0,0.0,0.0,0.0,,2500.0,2,,,True,True
2025-11-12,0.0,0.0,0.0,0.0,,67391.0,4,,,True,True
2025-11-14,0.0,0.0,0.0,0.0,,2006.0,6,,,True,True
2025-11-18,0.0,0.0,0.0,0.0,,501.0,2,,,True,True
2025-11-25,0.0,0.0001,0.0,0.0,,13010.0,7,,,True,True
2025-12-08,0.0,0.0001,0.0,0.0,,116001.0,5,,,True,True
2025-12-11,0.0009,0.0009,0.0,0.0,,6401.0,6,,,True,True
2025-12-12,0.0,0.0,0.0,0.0,,10001.0,2,,,True,True
2025-12-16,0.0,0.0,0.0,0.0,,501.0,2,,,True,True
2025-12-18,0.0,0.0,0.0,0.0,,3350.0,4,,,True,True
2025-12-22,0.0,0.0,0.0,0.0,,20126.0,3,,,True,True
2025-12-30,0.0,0.0,0.0,0.0,,1020.0,5,,,True,True
