date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-04-03,0.0,0.0001,0.0,0.0,0.0001,4800.0,2,0.0,0.0,True,True
2024-09-27,0.0001,0.0001,0.0,0.0,0.0001,46852.0,14,0.0,0.0,True,True
2024-11-08,0.0001,0.0001,0.0,0.0,0.0001,647.0,5,0.0,0.0,True,True
2024-11-19,0.0001,0.0001,0.0,0.0,0.0001,2563.0,4,0.0,0.0,True,True
2024-11-22,0.0001,0.0001,0.0,0.0,0.0001,14093.0,8,0.0,0.0,True,True
2024-12-02,0.0001,0.0003,0.0,0.0,0.0001,7793.0,7,0.0,0.0,True,True
2024-12-04,0.0001,0.0001,0.0,0.0,0.0001,7400.0,7,0.0,0.0,True,True
2024-01-03,0.0,0.0,0.0,0.0,,4000.0,1,,,True,True
2024-01-04,0.0,0.0,0.0,0.0,,1595.0,1,,,True,True
2024-01-08,0.0,0.0,0.0,0.0,,850.0,1,,,True,True
2024-01-09,0.0,0.0,0.0,0.0,,1500.0,1,,,True,True
2024-01-10,0.0,0.0,0.0,0.0,,1250.0,2,,,True,True
2024-01-22,0.0,0.0,0.0,0.0,,3600.0,2,,,True,True
2024-02-05,0.0,0.0,0.0,0.0,,605.0,3,,,True,True
2024-02-15,0.0,0.0,0.0,0.0,,8300.0,2,,,True,True
2024-02-23,0.0,0.0,0.0,0.0,,200.0,1,,,True,True
2024-03-13,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2024-03-22,0.0,0.0,0.0,0.0,,3289.0,3,,,True,True
2024-04-08,0.0,0.0,0.0,0.0,,1330.0,1,,,True,True
2024-05-21,0.0,0.0,0.0,0.0,,5309.0,2,,,True,True
2024-05-29,0.0,0.0,0.0,0.0,,1149.0,1,,,True,True
2024-06-05,0.0,0.0,0.0,0.0,,185.0,1,,,True,True
2024-06-10,0.0,0.0,0.0,0.0,,744202.0,1,,,True,True
2024-06-13,0.0,0.0,0.0,0.0,,17200.0,1,,,True,True
2024-06-14,0.0,0.0,0.0,0.0,,10750.0,2,,,True,True
2024-06-18,0.0,0.0,0.0,0.0,,24783.0,7,,,True,True
2024-06-20,0.0,0.0,0.0,0.0,,500.0,1,,,True,True
2024-06-27,0.0,0.0,0.0,0.0,,51000.0,1,,,True,True
2024-07-02,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2024-07-15,0.0,0.0,0.0,0.0,,300.0,1,,,True,True
2024-07-30,0.0,0.0,0.0,0.0,,670.0,2,,,True,True
2024-08-08,0.0,0.0,0.0,0.0,,242.0,3,,,True,True
2024-08-09,0.0,0.0,0.0,0.0,,4319.0,1,,,True,True
2024-08-15,0.0,0.0,0.0,0.0,,85613.0,2,,,True,True
2024-08-29,0.0,0.0,0.0,0.0,,700.0,2,,,True,True
2024-09-04,0.0,0.0,0.0,0.0,,4500.0,1,,,True,True
2024-09-06,0.0,0.0,0.0,0.0,,1100.0,1,,,True,True
2024-09-10,0.0,0.0,0.0,0.0,,500.0,1,,,True,True
2024-10-04,0.0001,0.0001,0.0,0.0,,1300.0,2,,,True,True
2024-10-11,0.0,0.0,0.0,0.0,,300.0,1,,,True,True
2024-10-29,0.0,0.0,0.0,0.0,,1990.0,2,,,True,True
2024-11-11,0.0,0.0001,0.0,0.0,,1635.0,2,,,True,True
2024-11-12,0.0,0.0,0.0,0.0,,2300.0,2,,,True,True
2024-12-13,0.0,0.0,0.0,0.0,,1500.0,4,,,True,True
2024-12-17,0.0,0.0,0.0,0.0,,1200.0,1,,,True,True
2024-12-20,0.0,0.0,0.0,0.0,,4501.0,2,,,True,True
2024-12-23,0.0,0.0,0.0,0.0,,1287.0,2,,,True,True
2024-12-26,0.0,0.0,0.0,0.0,,1027.0,5,,,True,True
2024-12-27,0.0,0.0,0.0,0.0,,23620.0,4,,,True,True
2024-12-30,0.0,0.0,0.0,0.0,,279904.0,5,,,True,True
2024-12-31,0.0,0.0,0.0,0.0,,14845.0,12,,,True,True
