date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-11-21,0.0001,0.0001,0.0001,0.0001,0.0049,103.0,2,0.0048,,False,False
2025-12-12,0.0005,0.0005,0.0005,0.0005,0.0016,466.0,2,0.0011,,False,False
2025-03-21,0.0011,0.0011,0.0011,0.0011,0.0001,60101.0,3,0.001,,False,False
2025-02-05,0.0002,0.0002,0.0002,0.0002,0.001,107.0,3,0.0008,,False,False
2025-12-16,0.0005,0.0005,0.0005,0.0005,0.0009,1298.0,3,0.00039999999999999996,,False,False
2025-11-04,0.0002,0.0002,0.0002,0.0002,0.0004,3088.0,3,0.0002,,False,False
2025-03-14,0.0001,0.0001,0.0001,0.0001,0.0003,101.0,2,0.00019999999999999998,,False,False
2025-06-04,0.0011,0.0011,0.0011,0.0011,0.0013,102.0,2,0.00019999999999999987,,False,False
2025-03-04,0.0001,0.0001,0.0001,0.0001,0.0002,501.0,2,0.0001,,False,False
2025-12-01,0.0005,0.0005,0.0005,0.0005,0.0006,1365.0,4,9.999999999999994e-05,,False,False
2025-04-28,0.0011,0.0011,0.0011,0.0011,0.0012,125.0,3,9.999999999999983e-05,,False,False
2025-05-12,0.0011,0.0011,0.0011,0.0011,0.0012,101.0,2,9.999999999999983e-05,,False,False
2025-01-22,0.0,0.002,0.0,0.0,0.0017,6021.0,3,0.0,0.0,True,True
2025-01-27,0.002,0.002,0.0,0.0,0.001,1990.0,2,0.0,0.0,True,True
