date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-10-02,0.0,0.0001,0.0,0.0,0.0001,11300.0,2,0.0,0.0,True,True
2025-12-16,0.0,0.0001,0.0,0.0,0.0001,1088.0,3,0.0,0.0,True,True
2025-12-30,0.0,0.0001,0.0,0.0,0.0001,87143.0,4,0.0,0.0,True,True
2025-03-06,0.0,0.0,0.0,0.0,,156.0,1,,,True,True
2025-04-28,0.0,0.0,0.0,0.0,,200.0,1,,,True,True
2025-09-09,0.0,0.0,0.0,0.0,,900.0,1,,,True,True
2025-09-19,0.0,0.0,0.0,0.0,,348.0,2,,,True,True
2025-10-16,0.0,0.0001,0.0,0.0,,1820.0,2,,,True,True
2025-11-11,0.0,0.0,0.0,0.0,,500.0,1,,,True,True
2025-11-12,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2025-12-29,0.0,0.0,0.0,0.0,,293.0,2,,,True,True
