date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-11-17,0.0001,0.0001,0.0001,0.0001,0.0004,257.0,4,0.00030000000000000003,,False,False
2025-07-30,0.0001,0.0001,0.0,0.0,0.0001,31532.0,7,0.0,0.0,True,True
2025-08-04,0.0001,0.0001,0.0,0.0,0.0001,3655.0,4,0.0,0.0,True,True
2025-01-31,0.0,0.0,0.0,0.0,,250.0,1,,,True,True
2025-02-14,0.0,0.0,0.0,0.0,,1162.0,2,,,True,True
2025-03-03,0.0,0.0,0.0,0.0,,468.0,2,,,True,True
2025-04-02,0.0,0.0,0.0,0.0,,112.0,1,,,True,True
2025-06-17,0.0,0.0,0.0,0.0,,2501.0,2,,,True,True
2025-07-24,0.0,0.0,0.0,0.0,,2109.0,2,,,True,True
2025-08-21,0.0,0.0001,0.0,0.0,,305.0,4,,,True,True
2025-10-09,0.0,0.0,0.0,0.0,,113.0,2,,,True,True
2025-10-10,0.0,0.0,0.0,0.0,,1000.0,1,,,True,True
2025-10-24,0.0,0.0001,0.0,0.0,,544.0,9,,,True,True
2025-12-30,0.0,0.0,0.0,0.0,,1948.0,3,,,True,True
