date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-05-08,0.0,0.0,0.0,0.0,,600.0,1,,,True,True
2024-05-28,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2024-09-16,0.0,0.0,0.0,0.0,,25040.0,2,,,True,True
2024-09-23,0.0,0.0,0.0,0.0,,2979.0,1,,,True,True
2024-10-25,0.0,0.0,0.0,0.0,,6715.0,2,,,True,True
2024-11-22,0.0,0.0,0.0,0.0,,40000.0,1,,,True,True
2024-12-17,0.0,0.0,0.0,0.0,,10000.0,1,,,True,True
2024-12-19,0.0,0.0,0.0,0.0,,20000.0,1,,,True,True
2024-12-20,0.0,0.0,0.0,0.0,,970.0,1,,,True,True
2024-12-27,0.0,0.0,0.0,0.0,,107578.0,4,,,True,True
