date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-02-06,0.7,0.7,0.7,0.7,0.7205,356.0,10,0.020500000000000074,,False,False
2024-04-10,0.65,0.65,0.65,0.65,0.6446,108.0,7,0.005400000000000071,,False,False
2024-02-28,0.66,0.66,0.66,0.66,0.6553,281.0,8,0.0047000000000000375,,False,False
2024-02-01,0.68,0.68,0.68,0.68,0.6844,2397.0,9,0.0043999999999999595,,False,False
2024-03-26,0.55,0.55,0.55,0.55,0.5527,282.0,8,0.0026999999999999247,,False,False
2024-03-25,0.55,0.55,0.55,0.55,0.5524,195.0,7,0.0023999999999999577,,False,False
2024-01-30,0.75,0.75,0.75,0.75,0.749,2137.0,13,0.0010000000000000009,,False,False
2024-03-18,0.62,0.62,0.62,0.62,0.6208,159.0,6,0.0008000000000000229,,False,False
2024-02-09,0.7,0.7,0.7,0.7,0.6993,3286.0,12,0.0006999999999999229,,False,False
2024-03-15,0.61,0.61,0.61,0.61,0.6106,690.0,4,0.0006000000000000449,,False,False
2024-01-24,0.96,0.96,0.96,0.96,0.9604,239.0,12,0.00040000000000006697,,False,False
2024-06-25,0.012,0.012,0.012,0.012,0.0124,1523.0,2,0.0003999999999999993,,False,False
2024-02-22,0.621,0.621,0.621,0.621,0.6214,1013.0,9,0.00039999999999995595,,False,False
2024-03-20,0.59,0.59,0.59,0.59,0.5897,1214.0,5,0.00029999999999996696,,False,False
2024-03-01,0.52,0.52,0.52,0.52,0.5202,4949.0,7,0.00019999999999997797,,False,False
2024-03-22,0.57,0.57,0.57,0.57,0.5698,1668.0,3,0.00019999999999997797,,False,False
2024-02-13,0.7199,0.72,0.7199,0.72,0.7201,3549.0,20,9.999999999998899e-05,100.0,False,False
2024-02-14,0.72,0.72,0.72,0.72,0.7199,373.0,7,9.999999999998899e-05,,False,False
2024-08-02,0.0,0.0001,0.0,0.0,0.0001,245.0,7,0.0,0.0,True,True
2024-11-06,0.0,0.0,0.0,0.0,,417.0,2,,,True,True
2024-11-13,0.0,0.0,0.0,0.0,,285.0,3,,,True,True
2024-11-15,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2024-11-20,0.0,0.0,0.0,0.0,,75000.0,1,,,True,True
2024-12-24,0.0,0.0,0.0,0.0,,275.0,2,,,True,True
2024-12-30,0.0,0.0,0.0,0.0,,175.0,2,,,True,True
2024-12-31,0.0,0.0,0.0,0.0,,3300.0,1,,,True,True
