date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-06-23,0.05,0.05,0.05,0.05,0.0263,192.0,9,0.023700000000000002,,False,False
2025-09-12,0.001,0.001,0.001,0.001,0.0163,181.0,2,0.015299999999999998,,False,False
2025-09-05,0.04,0.04,0.04,0.04,0.0315,239.0,9,0.0085,,False,False
2025-07-08,0.04,0.04,0.04,0.04,0.0323,124.0,10,0.0076999999999999985,,False,False
2025-11-06,0.015,0.015,0.015,0.015,0.0093,364.0,5,0.0057,,False,False
2025-04-01,0.05,0.05,0.05,0.05,0.0447,112.0,6,0.005300000000000006,,False,False
2025-05-01,0.014,0.014,0.014,0.014,0.0087,163.0,9,0.005300000000000001,,False,False
2025-09-09,0.02,0.02,0.02,0.02,0.0247,238.0,4,0.004699999999999999,,False,False
2025-05-05,0.0002,0.0002,0.0002,0.0002,0.0043,348.0,12,0.0041,,False,False
2025-06-16,0.01,0.01,0.01,0.01,0.0059,206.0,15,0.0041,,False,False
2025-04-10,0.01,0.01,0.01,0.01,0.006,169.0,14,0.004,,False,False
2025-05-21,0.01,0.01,0.01,0.01,0.0061,169.0,11,0.0039,,False,False
2025-06-06,0.01,0.01,0.01,0.01,0.0062,166.0,9,0.0038000000000000004,,False,False
2025-04-14,0.0002,0.0002,0.0002,0.0002,0.0037,250.0,8,0.0035,,False,False
2025-04-03,0.05,0.05,0.05,0.05,0.0467,107.0,4,0.0033000000000000043,,False,False
2025-08-01,0.0001,0.0001,0.0001,0.0001,0.0034,264.0,5,0.0033,,False,False
2025-01-10,0.05,0.05,0.05,0.05,0.0474,472.0,2,0.002600000000000005,,False,False
2025-07-11,0.0001,0.0001,0.0001,0.0001,0.0025,1378.0,14,0.0024000000000000002,,False,False
2025-02-27,0.0001,0.0001,0.0001,0.0001,0.0024,301.0,5,0.0023,,False,False
2025-08-26,0.02,0.02,0.02,0.02,0.0222,213.0,5,0.0022000000000000006,,False,False
2025-09-29,0.03,0.03,0.01,0.01,0.0082,494.0,13,0.0017999999999999995,8.999999999999998,False,False
2025-10-01,0.02,0.02,0.02,0.02,0.0182,110.0,2,0.0017999999999999995,,False,False
2025-09-25,0.01,0.01,0.01,0.01,0.0083,121.0,9,0.0017000000000000001,,False,False
2025-12-01,0.02,0.02,0.02,0.02,0.0183,252.0,15,0.0017000000000000001,,False,False
2025-05-19,0.01,0.01,0.01,0.01,0.0084,121.0,11,0.0016000000000000007,,False,False
2025-05-13,0.0002,0.0002,0.0002,0.0002,0.0017,576.0,9,0.0014999999999999998,,False,False
2025-03-20,0.01,0.01,0.01,0.01,0.0087,115.0,7,0.0013000000000000008,,False,False
2025-05-27,0.0001,0.0001,0.0001,0.0001,0.0014,619.0,12,0.0013,,False,False
2025-05-20,0.015,0.015,0.015,0.015,0.0137,111.0,3,0.001299999999999999,,False,False
2025-03-21,0.005,0.005,0.005,0.005,0.0038,132.0,4,0.0012000000000000001,,False,False
2025-08-19,0.0001,0.0001,0.0001,0.0001,0.0013,3240.0,11,0.0012,,False,False
2025-04-16,0.01,0.01,0.01,0.01,0.0089,113.0,5,0.0011000000000000003,,False,False
2025-02-10,0.0001,0.0001,0.0001,0.0001,0.001,301.0,4,0.0009,,False,False
