date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-05-08,0.0,0.0,0.0,0.0,0.0001,402.0,3,0.0001,,True,True
2025-08-15,0.0,0.0001,0.0,0.0001,0.0001,5015.0,7,0.0,0.0,True,True
2025-12-11,0.0,0.0001,0.0,0.0,0.0001,2443.0,6,0.0,0.0,True,True
2025-06-23,0.0,0.0,0.0,0.0,,1669.0,2,,,True,True
2025-06-30,0.0,0.0,0.0,0.0,,110.0,1,,,True,True
2025-09-03,0.0,0.0,0.0,0.0,,614.0,2,,,True,True
2025-10-02,0.0,0.0,0.0,0.0,,200.0,1,,,True,True
2025-10-27,0.0,0.0,0.0,0.0,,100.0,1,,,True,True
2025-12-16,0.0,0.0,0.0,0.0,,300.0,1,,,True,True
2025-12-18,0.0,0.0,0.0,0.0,,28621.0,1,,,True,True
2025-12-30,0.0,0.0001,0.0,0.0,,6377.0,9,,,True,True
