bucket,ticker,year,file,image_path,problem_rows_csv,vw_ratio_pct,vw_outside_range_abs_max,coverage_ratio_vs_business_days
vw_high_ratio_illiquid_regime,AREB,2021,D:\ohlcv_daily\ticker=AREB\year=2021\day_aggs_AREB_2021.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\AREB_2021.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\AREB_2021_problem_rows.csv,100.0,7200.0,0.0038314176245210726
vw_high_ratio_illiquid_regime,PEGR,2021,D:\ohlcv_daily\ticker=PEGR\year=2021\day_aggs_PEGR_2021.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\PEGR_2021.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\PEGR_2021_problem_rows.csv,100.0,1.9481000000000002,0.01532567049808429
vw_high_ratio_illiquid_regime,XAN,2007,D:\ohlcv_daily\ticker=XAN\year=2007\day_aggs_XAN_2007.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\XAN_2007.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\XAN_2007_problem_rows.csv,100.0,0.17999999999999994,0.0038314176245210726
vw_high_ratio_illiquid_regime,NMRD,2026,D:\ohlcv_daily\ticker=NMRD\year=2026\day_aggs_NMRD_2026.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\NMRD_2026.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\NMRD_2026_problem_rows.csv,100.0,0.00039999999999999996,0.0038314176245210726
vw_high_ratio_illiquid_regime,GCTK,2022,D:\ohlcv_daily\ticker=GCTK\year=2022\day_aggs_GCTK_2022.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\GCTK_2022.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\GCTK_2022_problem_rows.csv,24.0,3909.6800000000003,0.5769230769230769
vw_high_ratio_illiquid_regime,BNZI,2023,D:\ohlcv_daily\ticker=BNZI\year=2023\day_aggs_BNZI_2023.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\BNZI_2023.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\BNZI_2023_problem_rows.csv,20.0,1040.5649999999996,0.038461538461538464
vw_high_ratio_illiquid_regime,STAF,2015,D:\ohlcv_daily\ticker=STAF\year=2015\day_aggs_STAF_2015.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\STAF_2015.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\STAF_2015_problem_rows.csv,26.31578947368421,795.8400000000001,0.21839080459770116
vw_high_ratio_illiquid_regime,AUBN,2022,D:\ohlcv_daily\ticker=AUBN\year=2022\day_aggs_AUBN_2022.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\AUBN_2022.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\AUBN_2022_problem_rows.csv,22.07207207207207,0.5869,0.8538461538461538
vw_high_ratio_illiquid_regime,LGMK,2026,D:\ohlcv_daily\ticker=LGMK\year=2026\day_aggs_LGMK_2026.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\LGMK_2026.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\LGMK_2026_problem_rows.csv,26.31578947368421,0.04689999999999994,0.14559386973180077
vw_high_ratio_illiquid_regime,CNNB,2022,D:\ohlcv_daily\ticker=CNNB\year=2022\day_aggs_CNNB_2022.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\CNNB_2022.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\CNNB_2022_problem_rows.csv,35.638297872340424,0.3451000000000022,0.7230769230769231
vw_high_ratio_illiquid_regime,GPAC,2024,D:\ohlcv_daily\ticker=GPAC\year=2024\day_aggs_GPAC_2024.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\GPAC_2024.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\GPAC_2024_problem_rows.csv,44.776119402985074,1.3850999999999996,0.25572519083969464
vw_high_ratio_illiquid_regime,FATBB,2023,D:\ohlcv_daily\ticker=FATBB\year=2023\day_aggs_FATBB_2023.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\FATBB_2023.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_high_ratio_illiquid_regime\FATBB_2023_problem_rows.csv,36.6120218579235,0.3168999999999995,0.7038461538461539
vw_low_ratio_limited_days,JRSH,2018,D:\ohlcv_daily\ticker=JRSH\year=2018\day_aggs_JRSH_2018.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\JRSH_2018.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\JRSH_2018_problem_rows.csv,4.9079754601226995,0.30959999999999965,0.6245210727969349
vw_low_ratio_limited_days,MRDB,2024,D:\ohlcv_daily\ticker=MRDB\year=2024\day_aggs_MRDB_2024.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\MRDB_2024.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\MRDB_2024_problem_rows.csv,4.9079754601226995,0.26339999999999997,0.6221374045801527
vw_low_ratio_limited_days,VBIV,2014,D:\ohlcv_daily\ticker=VBIV\year=2014\day_aggs_VBIV_2014.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\VBIV_2014.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\VBIV_2014_problem_rows.csv,4.854368932038835,1.2560000000000002,0.3946360153256705
vw_low_ratio_limited_days,BOXD,2023,D:\ohlcv_daily\ticker=BOXD\year=2023\day_aggs_BOXD_2023.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\BOXD_2023.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\BOXD_2023_problem_rows.csv,4.838709677419355,0.17079999999999995,0.23846153846153847
vw_low_ratio_limited_days,ASTI,2016,D:\ohlcv_daily\ticker=ASTI\year=2016\day_aggs_ASTI_2016.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\ASTI_2016.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\ASTI_2016_problem_rows.csv,2.7777777777777777,18094000000.0,0.13793103448275862
vw_low_ratio_limited_days,ADTX,2021,D:\ohlcv_daily\ticker=ADTX\year=2021\day_aggs_ADTX_2021.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\ADTX_2021.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\ADTX_2021_problem_rows.csv,1.1904761904761905,199216000.0,0.9655172413793104
vw_low_ratio_limited_days,WHLR,2021,D:\ohlcv_daily\ticker=WHLR\year=2021\day_aggs_WHLR_2021.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\WHLR_2021.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\WHLR_2021_problem_rows.csv,1.1904761904761905,43599024.0,0.9655172413793104
vw_low_ratio_limited_days,WHLR,2022,D:\ohlcv_daily\ticker=WHLR\year=2022\day_aggs_WHLR_2022.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\WHLR_2022.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\WHLR_2022_problem_rows.csv,2.788844621513944,11118240.0,0.9653846153846154
vw_low_ratio_limited_days,MDXG,2023,D:\ohlcv_daily\ticker=MDXG\year=2023\day_aggs_MDXG_2023.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\MDXG_2023.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\MDXG_2023_problem_rows.csv,1.2,1.9037999999999995,0.9615384615384616
vw_low_ratio_limited_days,ALZN,2024,D:\ohlcv_daily\ticker=ALZN\year=2024\day_aggs_ALZN_2024.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\ALZN_2024.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\ALZN_2024_problem_rows.csv,1.984126984126984,2.5060000000000002,0.9618320610687023
vw_low_ratio_limited_days,JXG,2025,D:\ohlcv_daily\ticker=JXG\year=2025\day_aggs_JXG_2025.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\JXG_2025.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\JXG_2025_problem_rows.csv,2.8000000000000003,2.1769999999999996,0.9578544061302682
vw_low_ratio_limited_days,PBLA,2020,D:\ohlcv_daily\ticker=PBLA\year=2020\day_aggs_PBLA_2020.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\PBLA_2020.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_low_ratio_limited_days\PBLA_2020_problem_rows.csv,4.761904761904762,89989.19999999998,0.08015267175572519
vw_mid_ratio_illiquid_regime,TCI,2019,D:\ohlcv_daily\ticker=TCI\year=2019\day_aggs_TCI_2019.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_mid_ratio_illiquid_regime\TCI_2019.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_mid_ratio_illiquid_regime\TCI_2019_problem_rows.csv,19.91701244813278,0.8575999999999979,0.9233716475095786
vw_mid_ratio_illiquid_regime,BYFC,2025,D:\ohlcv_daily\ticker=BYFC\year=2025\day_aggs_BYFC_2025.parquet,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_mid_ratio_illiquid_regime\BYFC_2025.png,C:\TSIS_Data\01_TSIS_backtest_SmallCaps\01_foundations\inspection_dossiers\daily\evidence_assets\non_good_quality\vw_mid_ratio_illiquid_regime\BYFC_2025_problem_rows.csv,19.911504424778762,0.24519999999999964,0.8659003831417624
