date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2022-04-01,22440.0,22440.0,17580.0,19200.0,26349.68,48.585667,3187,3909.6800000000003,80.44609053497942,False,False
2022-07-15,14100.0,14100.0,14100.0,14100.0,14566.89,0.068,13,466.8899999999994,,False,False
2022-04-20,18540.0,18660.0,18540.0,18660.0,18093.06,0.52,52,446.9399999999987,372.4499999999989,False,False
2022-03-16,20999.4,21000.0,20999.4,21000.0,20592.57,0.8115,60,406.83000000000175,67805.00000016474,False,False
2022-05-09,16680.0,16800.0,13440.0,13500.0,17098.27,1.8065,147,298.27000000000044,8.877083333333346,False,False
2022-11-30,9480.0,9480.0,9480.0,9480.0,9685.7,0.074333,10,205.70000000000073,,False,False
2022-05-19,16980.0,16980.0,16980.0,16980.0,17165.24,0.042,4,185.2400000000016,,False,False
2022-10-28,10260.0,10260.0,10020.0,10020.0,10406.73,0.065833,6,146.72999999999956,61.13749999999982,False,False
2022-09-29,11880.0,11940.0,11880.0,11940.0,11756.12,0.125333,17,123.8799999999992,206.46666666666533,False,False
2022-05-11,17100.0,17100.0,17088.0,17100.0,17197.61,0.223167,29,97.61000000000058,813.4166666666715,False,False
2022-09-13,13537.2,13537.2,13500.0,13500.0,13420.86,0.050667,8,79.13999999999942,212.74193548386523,False,False
2022-09-27,12000.0,12000.0,12000.0,12000.0,11934.07,0.049333,10,65.93000000000029,,False,False
2022-06-29,15525.0,15525.0,15525.0,15525.0,15470.43,0.023667,5,54.56999999999971,,False,False
2022-05-24,16740.0,16756.2,16740.0,16756.2,16696.54,0.1785,13,43.45999999999913,268.27160493825414,False,False
2022-09-06,12000.0,12000.0,12000.0,12000.0,12034.69,0.156833,9,34.69000000000051,,False,False
2022-10-10,11298.0,11298.0,11298.0,11298.0,11264.99,0.018667,3,33.01000000000022,,False,False
2022-05-05,16800.0,16800.0,16800.0,16800.0,16828.77,0.024333,7,28.770000000000437,,False,False
2022-05-25,16560.0,16620.0,16560.0,16620.0,16537.12,0.0515,13,22.88000000000102,38.13333333333503,False,False
2022-11-17,11100.0,11100.0,11100.0,11100.0,11078.56,0.853167,15,21.44000000000051,,False,False
2022-12-01,10080.0,10080.0,10080.0,10080.0,10100.73,0.025667,7,20.729999999999563,,False,False
2022-12-30,8460.0,8460.0,8460.0,8460.0,8476.99,0.2605,14,16.98999999999978,,False,False
2022-10-12,11520.0,11520.0,11520.0,11520.0,11504.14,0.254667,3,15.860000000000582,,False,False
2022-03-14,19800.0,19800.0,19800.0,19800.0,19788.19,0.084667,5,11.81000000000131,,False,False
2022-07-21,12960.0,12960.0,12900.0,12900.0,12971.7,0.0735,15,11.700000000000728,19.50000000000121,False,False
2022-12-19,9660.0,9660.0,9600.0,9600.0,9588.57,0.067833,10,11.430000000000291,19.050000000000484,False,False
2022-07-01,14820.0,14820.0,14820.0,14820.0,14829.58,0.062833,12,9.579999999999927,,False,False
2022-11-01,11100.0,11100.0,11100.0,11100.0,11108.61,0.027333,6,8.610000000000582,,False,False
2022-09-02,12000.0,12000.0,12000.0,12000.0,12007.21,0.162167,14,7.209999999999127,,False,False
2022-12-21,8820.0,8820.0,8820.0,8820.0,8814.29,0.069,6,5.709999999999127,,False,False
2022-12-29,8509.8,8509.8,8509.8,8509.8,8515.24,0.539333,9,5.440000000000509,,False,False
2022-11-23,9720.0,9720.0,9720.0,9720.0,9724.42,0.135167,13,4.420000000000073,,False,False
2022-08-05,13260.0,13260.0,12900.0,13200.0,13262.16,0.121667,16,2.1599999999998545,0.5999999999999596,False,False
2022-12-16,9540.0,9540.0,9540.0,9540.0,9537.91,0.067,3,2.0900000000001455,,False,False
2022-12-07,9720.0,9720.0,9720.0,9720.0,9718.17,0.369833,9,1.8299999999999272,,False,False
2022-12-15,9510.0,9510.0,9510.0,9510.0,9508.2,0.029,5,1.7999999999992724,,False,False
2022-11-03,11100.0,11100.0,11100.0,11100.0,11099.84,0.917333,7,0.15999999999985448,,False,False
