date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2024-04-16,11.41,11.41,11.2,11.3,12.7951,13516.0,47,1.3850999999999996,659.5714285714257,False,False
2024-02-13,11.2,11.2,11.2,11.2,11.1022,331.0,20,0.09779999999999944,,False,False
2024-03-28,11.28,11.28,11.28,11.28,11.1979,202.0,10,0.08209999999999873,,False,False
2024-02-20,11.01,11.01,11.01,11.01,11.0867,722.0,24,0.07670000000000066,,False,False
2024-03-06,11.4,11.4,11.4,11.4,11.3366,346.0,8,0.06339999999999968,,False,False
2024-07-03,11.36,11.36,11.1602,11.1602,11.097,888.0,23,0.06320000000000014,31.63163163163174,False,False
2024-05-02,11.21,11.22,11.21,11.22,11.2769,260.0,4,0.05689999999999884,569.0000000000006,False,False
2024-04-10,11.15,11.15,11.15,11.15,11.2069,208.0,5,0.05689999999999884,,False,False
2024-06-26,11.19,11.19,11.06,11.06,11.0145,334.0,12,0.04550000000000054,35.00000000000068,False,False
2024-03-13,11.22,11.22,11.22,11.22,11.1807,178.0,5,0.03930000000000078,,False,False
2024-03-14,11.19,11.19,11.19,11.19,11.1554,178.0,4,0.0345999999999993,,False,False
2024-03-12,11.505,11.505,11.36,11.36,11.3293,269.0,5,0.030699999999999505,21.17241379310291,False,False
2024-03-01,11.0624,11.0624,11.0624,11.0624,11.0416,334.0,7,0.020799999999999486,,False,False
2024-04-30,11.23,11.23,11.23,11.23,11.2469,113.0,4,0.016899999999999693,,False,False
2024-01-18,11.01,11.01,11.01,11.01,11.0268,320.0,16,0.016799999999999926,,False,False
2024-02-14,11.17,11.19,11.17,11.19,11.1578,338.0,10,0.012199999999999989,61.00000000000124,False,False
2024-02-29,11.01,11.01,11.01,11.01,11.0212,135.0,3,0.011200000000000543,,False,False
2024-06-18,11.33,11.33,11.33,11.33,11.3386,545.0,9,0.008599999999999497,,False,False
2024-01-16,11.01,11.01,11.01,11.01,11.0185,123.0,4,0.00849999999999973,,False,False
2024-03-19,11.05,11.05,11.05,11.05,11.0546,182.0,10,0.0045999999999999375,,False,False
2024-01-08,11.1,11.1,11.1,11.1,11.1042,525.0,18,0.00420000000000087,,False,False
2024-05-24,11.31,11.31,11.31,11.31,11.3081,841.0,12,0.001900000000000901,,False,False
2024-02-16,11.01,11.01,11.01,11.01,11.0116,141.0,7,0.0015999999999998238,,False,False
2024-05-06,11.25,11.25,11.25,11.25,11.2491,1244.0,9,0.0008999999999996788,,False,False
2024-05-08,11.25,11.25,11.25,11.25,11.2509,1142.0,6,0.0008999999999996788,,False,False
2024-01-23,11.06,11.06,11.06,11.06,11.0592,1206.0,14,0.0007999999999999119,,False,False
2024-04-12,11.2,11.2,11.2,11.2,11.1992,1430.0,6,0.0007999999999999119,,False,False
2024-05-01,11.21,11.21,11.21,11.21,11.2093,118.0,4,0.000700000000000145,,False,False
2024-01-02,11.12,11.12,11.095,11.095,11.0945,584.0,19,0.0005000000000006111,2.000000000002558,False,False
2024-05-07,11.25,11.25,11.25,11.25,11.2495,1120.0,5,0.0005000000000006111,,False,False
