date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2026-03-05,0.7301,0.7301,0.73,0.7301,0.6831,1285.0,20,0.04689999999999994,46900.00000000511,False,False
2026-01-16,0.72,0.72,0.72,0.72,0.737,539.0,26,0.017000000000000015,,False,False
2026-02-23,0.706,0.706,0.706,0.706,0.6908,664.0,13,0.015199999999999991,,False,False
2026-01-09,0.8791,0.8791,0.8226,0.8226,0.8085,932.0,30,0.014100000000000001,24.955752212389385,False,False
2026-02-11,0.68,0.68,0.68,0.68,0.6871,244.0,12,0.007099999999999995,,False,False
2026-02-18,0.68,0.68,0.68,0.68,0.6853,297.0,14,0.005299999999999971,,False,False
2026-01-13,0.71,0.71,0.71,0.71,0.7137,694.0,35,0.0037000000000000366,,False,False
2026-02-19,0.6502,0.6502,0.6502,0.6502,0.6535,552.0,8,0.0032999999999999696,,False,False
2026-02-05,0.68,0.68,0.68,0.68,0.6824,928.0,26,0.0023999999999999577,,False,False
2026-01-29,0.68,0.68,0.68,0.68,0.6818,887.0,13,0.0017999999999999128,,False,False
