date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2015-11-05,15000.0,15000.0,15000.0,15000.0,14204.16,0.062667,3,795.8400000000001,,False,False
2015-10-28,15000.0,15000.0,15000.0,15000.0,14425.14,0.051667,4,574.8600000000006,,False,False
2015-11-23,13800.3,13800.3,13800.3,13800.3,14200.2,0.05,2,399.90000000000146,,False,False
2015-10-30,14999.7,14999.7,14999.7,14999.7,14648.1,0.038333,3,351.60000000000036,,False,False
2015-11-19,14010.3,14010.3,14010.3,14010.3,14290.62,0.040333,4,280.3200000000015,,False,False
2015-11-20,15060.0,15060.0,15060.0,15060.0,14796.21,0.06,3,263.7900000000009,,False,False
2015-11-16,16499.7,16500.0,16499.7,16500.0,16327.11,0.075333,4,172.59000000000015,57530.000000139575,False,False
2015-12-17,11785.5,11785.5,11785.5,11785.5,11922.18,0.070333,6,136.6800000000003,,False,False
2015-10-09,18030.3,18030.3,18030.0,18030.0,18166.08,0.283333,5,135.78000000000247,45260.000000110595,False,False
2015-11-12,13230.0,13230.0,13230.0,13230.0,13317.0,0.066667,2,87.0,,False,False
2015-10-02,18630.0,18705.0,18630.0,18690.0,18726.42,0.230667,6,21.419999999998254,28.55999999999767,False,False
2015-12-01,12900.0,12900.0,12900.0,12900.0,12891.12,0.036,2,8.8799999999992,,False,False
2015-10-19,15000.0,15000.0,15000.0,15000.0,14993.46,0.093,3,6.540000000000873,,False,False
2015-12-29,11019.0,11019.0,11019.0,11019.0,11014.41,0.341667,2,4.5900000000001455,,False,False
2015-11-11,16500.0,16500.0,16500.0,16500.0,16500.51,0.400667,5,0.5099999999983993,,False,False
