date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2025-03-06,3.03,3.03,3.03,3.03,3.3864,1801.0,27,0.35640000000000027,,False,False
2025-11-07,2.21,2.21,2.21,2.21,2.102,1496.0,43,0.1080000000000001,,False,False
2025-06-03,2.56,2.56,2.56,2.56,2.4957,1029.0,43,0.06430000000000025,,False,False
2025-09-03,2.4365,2.4365,2.4365,2.4365,2.5008,621.0,50,0.0642999999999998,,False,False
2025-08-05,2.52,2.52,2.52,2.52,2.5825,547.0,52,0.0625,,False,False
2025-07-07,2.502,2.502,2.502,2.502,2.5605,781.0,89,0.05850000000000044,,False,False
2025-09-12,2.56,2.56,2.56,2.56,2.614,543.0,41,0.053999999999999826,,False,False
2025-05-09,2.97,2.97,2.97,2.97,2.9177,1682.0,49,0.052300000000000235,,False,False
2025-05-30,2.61,2.61,2.61,2.61,2.5612,380.0,24,0.048799999999999955,,False,False
2025-08-21,2.61,2.61,2.61,2.61,2.5659,478.0,60,0.044099999999999806,,False,False
2025-04-17,2.41,2.41,2.3786,2.3853,2.4502,1922.0,37,0.040200000000000014,128.02547770700602,False,False
2025-11-05,2.31,2.31,2.31,2.31,2.3458,639.0,73,0.035800000000000054,,False,False
2025-08-28,2.5601,2.5601,2.5601,2.5601,2.5951,350.0,39,0.03500000000000014,,False,False
2025-08-22,2.5866,2.6009,2.5866,2.6,2.5548,824.0,46,0.031799999999999606,222.37762237761305,False,False
2025-07-16,2.71,2.71,2.67,2.68,2.6405,2502.0,133,0.02950000000000008,73.75000000000014,False,False
2025-05-07,2.9573,2.9573,2.9573,2.9573,2.9824,821.0,49,0.025100000000000122,,False,False
2025-10-31,2.43,2.43,2.43,2.43,2.4102,1620.0,49,0.01980000000000004,,False,False
2025-01-15,4.7,4.7,4.7,4.7,4.681,1950.0,33,0.019000000000000128,,False,False
2025-07-17,2.695,2.7,2.695,2.7,2.7189,2548.0,75,0.018899999999999917,377.99999999997283,False,False
2025-07-10,2.68,2.68,2.68,2.68,2.6988,988.0,78,0.018799999999999706,,False,False
2025-08-07,2.79,2.89,2.79,2.89,2.7716,780.0,51,0.018400000000000194,18.400000000000176,False,False
2025-03-25,2.995,2.995,2.995,2.995,3.0119,595.0,47,0.016899999999999693,,False,False
2025-08-27,2.6508,2.6508,2.6508,2.6508,2.6344,1362.0,61,0.01639999999999997,,False,False
2025-05-15,2.849,2.849,2.849,2.849,2.8333,566.0,45,0.01570000000000027,,False,False
2025-01-08,4.67,4.67,4.67,4.67,4.6836,641.0,27,0.013600000000000279,,False,False
2025-05-22,2.6219,2.6219,2.6219,2.6219,2.6099,415.0,37,0.01200000000000001,,False,False
2025-11-03,2.31,2.31,2.31,2.31,2.3216,1891.0,271,0.011600000000000055,,False,False
2025-10-29,2.395,2.395,2.395,2.395,2.4061,613.0,101,0.011099999999999888,,False,False
2025-07-22,2.617,2.62,2.617,2.62,2.6305,699.0,66,0.010499999999999954,349.9999999999852,False,False
2025-09-18,2.58,2.58,2.58,2.58,2.5697,415.0,36,0.010299999999999976,,False,False
2025-09-05,2.6,2.6,2.6,2.6,2.5915,201.0,23,0.008500000000000174,,False,False
2025-09-08,2.5382,2.54,2.5382,2.54,2.5484,996.0,44,0.008399999999999963,466.66666666660086,False,False
2025-10-02,2.52,2.52,2.52,2.52,2.5255,290.0,39,0.00550000000000006,,False,False
2025-10-10,2.5558,2.5558,2.545,2.545,2.558,1061.0,39,0.0021999999999997577,20.37037037036786,False,False
2025-05-08,3.0,3.0,3.0,3.0,2.9983,950.0,35,0.0017000000000000348,,False,False
2025-10-21,2.57,2.57,2.56,2.56,2.5586,500.0,63,0.0013999999999998458,13.999999999998757,False,False
2025-09-24,2.54,2.54,2.5,2.54,2.5401,3470.0,53,9.999999999976694e-05,0.24999999999941713,False,False
