date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2019-06-06,2072887.18,2072887.18,2072887.18,2072887.18,2065254.282,0.002332,6,7632.898000000045,,False,False
2019-10-08,2089680.7932,2089680.7932,2089680.7932,2089680.7932,2097250.883,0.003532,5,7570.089799999958,,False,False
2019-07-19,2061408.44,2061408.44,2061408.44,2061408.44,2068666.6546,0.002309,7,7258.214600000065,,False,False
2019-10-18,2139160.66,2139160.66,2139160.66,2139160.66,2135214.1083,0.011289,11,3946.5517000001855,,False,False
2019-08-20,2069902.7076,2069902.7076,2069902.7076,2069902.7076,2066177.5316,0.001847,1,3725.1759999999776,,False,False
2019-02-14,1982997.8168,1982997.8168,1982997.8168,1982997.8168,1979931.1987,0.008819,9,3066.618099999847,,False,False
2019-05-15,2046473.0832,2046473.0832,2046464.42,2046464.42,2044008.0934,0.003578,5,2456.3266000000294,28353.57142834865,False,False
2019-02-15,1989070.72,1989070.72,1989070.72,1989070.72,1986816.4316,0.004502,6,2254.2883999999613,,False,False
2019-11-01,2132983.7984,2132983.7984,2132121.81,2132121.81,2129929.0922,0.006164,5,2192.717800000217,254.37903804736138,False,False
2019-10-03,2093622.5492,2095316.2048,2093622.5492,2095316.2048,2091623.0517,0.016253,7,1999.4975000000559,118.05809280234581,False,False
2019-08-13,2047114.16,2047547.32,2047114.16,2047547.32,2045218.4662,0.013044,8,1895.6938000000082,437.64285714270846,False,False
2019-02-26,1995351.54,1995351.54,1995351.54,1995351.54,1993619.6735,0.003601,8,1731.8665000000037,,False,False
2019-07-15,2082637.6116,2085240.9032,2082637.6116,2085240.9032,2086789.9143,0.008542,9,1549.0111000000034,59.50202044211782,False,False
2019-11-29,2093245.7,2093245.7,2093245.7,2093245.7,2094466.5924,0.018815,31,1220.8924000000115,,False,False
2019-05-22,2054127.0204,2056860.26,2054127.0204,2056860.26,2052977.9088,0.005979,9,1149.1115999999456,42.042110029430184,False,False
2019-09-12,2075897.642,2076135.88,2075897.642,2076135.88,2074808.554,0.006649,7,1089.0879999999888,457.1428571430526,False,False
2019-09-11,2069378.584,2069378.584,2068122.42,2068122.42,2067452.2596,0.009004,9,670.1603999999352,53.34975369457161,False,False
2019-07-26,2045814.68,2045814.68,2045814.68,2045814.68,2045209.6483,0.002539,5,605.0316999999341,,False,False
2019-02-05,1978674.88,1980719.3952,1978414.984,1980719.3952,1977911.4355,0.020893,10,503.5485000000335,21.851503759400206,False,False
2019-12-05,2082039.8508,2082416.7,2082039.8508,2082416.7,2081578.3807,0.009511,6,461.4700999998022,122.45484400649774,False,False
2019-09-09,2089780.42,2089780.42,2089780.42,2089780.42,2089498.866,0.002216,6,281.5540000000037,,False,False
2019-05-30,2022424.04,2022424.04,2022207.46,2022207.46,2022622.8295,0.036245,5,198.7894999999553,91.78571428566207,False,False
2019-10-28,2117229.7692,2117229.7692,2117069.5,2117069.5,2117362.0377,0.012674,11,132.26850000023842,82.52895752911627,False,False
2019-07-30,2051016.9316,2051393.7808,2050362.86,2050362.86,2051513.0545,0.010204,10,119.27370000001974,11.569627851142782,False,False
2019-04-01,2051878.92,2059922.7012,2051878.92,2059922.7012,2051767.3813,0.01212,15,111.5386999999173,1.3866451265471533,False,False
2019-05-24,2068815.476,2069603.8272,2068815.476,2069603.8272,2068751.1208,0.010066,8,64.35520000010729,8.163265306136914,False,False
2019-01-23,1883163.1,1890188.9552,1883163.1,1889461.2464,1890202.4141,0.015837,8,13.458899999968708,0.19156244495287844,False,False
2019-05-03,2033253.04,2038667.54,2033253.04,2038667.54,2033250.5648,0.027519,2,2.4751999999862164,0.04571428571403115,False,False
