date,o,h,l,c,vw,v,n,vw_outside_range_abs,vw_outside_range_pct_of_span,invalid_price_flag,hard_invalid_flag
2022-09-09,9.8,9.8,9.8,9.8,9.8203,639.0,13,0.020299999999998875,,False,False
2022-03-10,9.74,9.74,9.74,9.74,9.7299,100607.0,8,0.010099999999999554,,False,False
2022-02-02,9.7,9.7,9.7,9.7,9.693,322.0,4,0.006999999999999673,,False,False
2022-08-31,9.83,9.83,9.83,9.83,9.8336,154.0,5,0.0036000000000004917,,False,False
2022-11-08,9.95,9.95,9.95,9.95,9.9536,401.0,5,0.0036000000000004917,,False,False
2022-06-13,9.8,9.8,9.8,9.8,9.7967,168.0,7,0.003300000000001191,,False,False
2022-08-15,9.85,9.85,9.85,9.85,9.8468,264.0,5,0.0031999999999996476,,False,False
2022-06-03,9.76,9.76,9.76,9.76,9.763,1494.0,10,0.0030000000000001137,,False,False
2022-03-02,9.74,9.74,9.74,9.74,9.742,834.0,6,0.002000000000000668,,False,False
2022-11-15,9.93,9.93,9.93,9.93,9.932,111.0,3,0.002000000000000668,,False,False
2022-09-29,9.81,9.81,9.81,9.81,9.8119,1437.0,5,0.0018999999999991246,,False,False
2022-05-26,9.75,9.75,9.75,9.75,9.7517,335.0,5,0.0016999999999995907,,False,False
2022-05-12,9.77,9.77,9.77,9.77,9.7686,129.0,5,0.00140000000000029,,False,False
2022-11-14,9.94,9.94,9.94,9.94,9.9412,688.0,10,0.001200000000000756,,False,False
2022-05-25,9.79,9.79,9.79,9.79,9.7888,106.0,4,0.0011999999999989797,,False,False
2022-01-06,9.72,9.72,9.72,9.72,9.721,575.0,5,0.0009999999999994458,,False,False
2022-07-22,9.82,9.82,9.82,9.82,9.819,112.0,4,0.0009999999999994458,,False,False
2022-06-07,9.79,9.79,9.79,9.79,9.7909,140.0,5,0.0009000000000014552,,False,False
2022-04-14,9.8,9.8,9.8,9.8,9.7993,2066.0,115,0.000700000000000145,,False,False
2022-11-11,9.97,9.97,9.97,9.97,9.9693,879.0,15,0.000700000000000145,,False,False
2022-05-20,9.75,9.75,9.75,9.75,9.7505,4260.0,2,0.0005000000000006111,,False,False
2022-06-10,9.8,9.8,9.8,9.8,9.8005,106.0,3,0.0004999999999988347,,False,False
2022-04-27,9.8,9.8,9.8,9.8,9.7997,4514.0,31,0.0003000000000010772,,False,False
2022-06-24,9.8,9.8,9.8,9.8,9.7997,149.0,7,0.0003000000000010772,,False,False
2022-06-17,9.79,9.79,9.79,9.79,9.7897,256.0,9,0.0002999999999993008,,False,False
2022-07-20,9.81,9.81,9.81,9.81,9.8103,206.0,3,0.0002999999999993008,,False,False
2022-08-22,9.8201,9.8201,9.8201,9.8201,9.8204,309.0,7,0.0002999999999993008,,False,False
2022-07-01,9.79,9.79,9.79,9.79,9.7902,11770.0,21,0.00020000000000131024,,False,False
2022-05-24,9.75,9.75,9.75,9.75,9.7502,5118.0,4,0.00019999999999953388,,False,False
2022-06-23,9.79,9.79,9.79,9.79,9.7898,3190.0,23,0.00019999999999953388,,False,False
2022-09-19,9.82,9.82,9.82,9.82,9.8202,225.0,4,0.00019999999999953388,,False,False
2022-09-28,9.82,9.82,9.82,9.82,9.8202,170.0,6,0.00019999999999953388,,False,False
2022-10-14,9.865,9.865,9.865,9.865,9.8652,105.0,2,0.00019999999999953388,,False,False
2022-12-21,10.1,10.1,10.1,10.1,10.0998,3260.0,18,0.00019999999999953388,,False,False
2022-01-21,9.7,9.7,9.7,9.7,9.7001,204.0,5,0.0001000000000015433,,False,False
2022-02-03,9.72,9.72,9.7,9.7,9.6999,14470.0,197,9.999999999976694e-05,0.49999999999880096,False,False
2022-03-30,9.77,9.77,9.77,9.77,9.7699,11396.0,25,9.999999999976694e-05,,False,False
2022-04-12,9.78,9.78,9.78,9.78,9.7801,279.0,6,9.999999999976694e-05,,False,False
2022-07-08,9.78,9.78,9.78,9.78,9.7801,2586.0,26,9.999999999976694e-05,,False,False
2022-09-08,9.8,9.8,9.8,9.8,9.8001,105.0,2,9.999999999976694e-05,,False,False
2022-11-16,9.94,9.94,9.94,9.94,9.9401,8720.0,25,9.999999999976694e-05,,False,False
