ticker,dataset,http_status,msg,rows_saved,pages,dropped_mismatch,dropped_missing_ticker,out_file,ts_utc
ABCB,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ABCB\ratios_ABCB.parquet,2026-03-08T13:39:07.138513+00:00
AA,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=AA\ratios_AA.parquet,2026-03-08T13:39:07.146999+00:00
AAON,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=AAON\ratios_AAON.parquet,2026-03-08T13:39:07.148153+00:00
ACI,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ACI\ratios_ACI.parquet,2026-03-08T13:39:07.155305+00:00
AAC,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=AAC\ratios_AAC.parquet,2026-03-08T13:39:07.161533+00:00
AG,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=AG\ratios_AG.parquet,2026-03-08T13:39:07.166970+00:00
AI,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=AI\ratios_AI.parquet,2026-03-08T13:39:07.183134+00:00
ALEX,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ALEX\ratios_ALEX.parquet,2026-03-08T13:39:07.188107+00:00
ACTU,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ACTU\ratios_ACTU.parquet,2026-03-08T13:39:07.197349+00:00
AHPA,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=AHPA\ratios_AHPA.parquet,2026-03-08T13:39:07.204861+00:00
AGLE,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=AGLE\ratios_AGLE.parquet,2026-03-08T13:39:07.211698+00:00
ACIC,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ACIC\ratios_ACIC.parquet,2026-03-08T13:39:07.246180+00:00
ALTM,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=ALTM\ratios_ALTM.parquet,2026-03-08T13:39:08.451105+00:00
AMCI,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=AMCI\ratios_AMCI.parquet,2026-03-08T13:39:08.460390+00:00
AMBO,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=AMBO\ratios_AMBO.parquet,2026-03-08T13:39:08.469293+00:00
AMR,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=AMR\ratios_AMR.parquet,2026-03-08T13:39:08.485488+00:00
ALKS,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ALKS\ratios_ALKS.parquet,2026-03-08T13:39:08.489319+00:00
ANTX,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ANTX\ratios_ANTX.parquet,2026-03-08T13:39:08.616187+00:00
ARKR,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ARKR\ratios_ARKR.parquet,2026-03-08T13:39:08.625791+00:00
AQU,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=AQU\ratios_AQU.parquet,2026-03-08T13:39:08.655593+00:00
ARM,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=ARM\ratios_ARM.parquet,2026-03-08T13:39:08.670577+00:00
ARNC,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=ARNC\ratios_ARNC.parquet,2026-03-08T13:39:08.688046+00:00
ANDA,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=ANDA\ratios_ANDA.parquet,2026-03-08T13:39:08.699345+00:00
ARRY,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ARRY\ratios_ARRY.parquet,2026-03-08T13:39:08.714580+00:00
ASNS,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=ASNS\ratios_ASNS.parquet,2026-03-08T13:39:09.797863+00:00
