artifact_name,relative_path,bytes,suffix,sha256,rows,columns,consumption
build_log.json,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/build_log.json,932,.json,dcd4d742a65ca8e0e632dc25736e74e1516872302de503a4560927676762fe18,,,provenance_read_only
canonical_event_summary.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/canonical_event_summary.parquet,5062850,.parquet,,132257,15,provenance_read_only
cross_source_overlap_summary.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/cross_source_overlap_summary.parquet,2349154,.parquet,,74738,11,provenance_read_only
duplicate_analysis.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/duplicate_analysis.parquet,6029350,.parquet,,132259,17,provenance_read_only
event_taxonomy_summary.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/event_taxonomy_summary.parquet,3154,.parquet,,5,4,provenance_read_only
event_window_alignment_summary.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/event_window_alignment_summary.parquet,11965,.parquet,,114,13,provenance_read_only
field_completeness_summary.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/field_completeness_summary.parquet,3842,.parquet,,36,5,provenance_read_only
halt_event_windows.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/halt_event_windows.parquet,11159683,.parquet,,521572,21,provenance_read_only
halts_intraday_overlay_index.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/halts_intraday_overlay_index.parquet,4801146,.parquet,,25301,28,provenance_read_only
halts_lt1b_event_index.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/halts_lt1b_event_index.parquet,2113045,.parquet,,53909,20,provenance_read_only
halts_quotes_link_candidates.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/halts_quotes_link_candidates.parquet,14500139,.parquet,,521572,37,provenance_read_only
halts_quotes_trades_visual_cases.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/halts_quotes_trades_visual_cases.parquet,4801145,.parquet,,25301,28,provenance_read_only
halts_trades_link_candidates.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/halts_trades_link_candidates.parquet,13799844,.parquet,,521572,37,provenance_read_only
manifest.json,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/manifest.json,2398,.json,4524a3efd588ff700855e947e26b776e44a4256ef034415c0a96ff8a45ad723f,,,provenance_read_only
multisource_builder_reconciliation.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/multisource_builder_reconciliation.parquet,3200,.parquet,,5,4,provenance_read_only
nasdaq_final_residual_rows.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/nasdaq_final_residual_rows.parquet,6295,.parquet,,11,10,provenance_read_only
source_quality_summary.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/source_quality_summary.parquet,8585,.parquet,,3,12,provenance_read_only
ticker_halt_coverage_summary.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/ticker_halt_coverage_summary.parquet,84324,.parquet,,4824,8,provenance_read_only
ticker_year_halt_presence.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/auditoria/halts/cache_v2/ticker_year_halt_presence.parquet,386476,.parquet,,33185,5,provenance_read_only
