relative_path,column,rows,nulls,inf_rows,min,max,mean
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,bar_count_raw,47,0,0,1.0,800.0,282.63829787234044
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,open_raw,47,0,0,4.43,19.2,9.163270212765958
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,close_raw,47,0,0,4.3397,19.356,8.895997872340425
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,high_raw,47,0,0,4.56,23.88,9.730776595744679
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,low_raw,47,0,0,4.1,18.6,8.335440425531914
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,cum_volume_session_raw,47,0,0,100.0,1435049.85,219321.03723451067
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,session_vwap_raw,47,0,0,4.317542563851742,19.512336535171574,8.865952337453395
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,intraday_return_since_open_raw,47,0,0,-0.2285549798503168,0.1511335012594459,-0.026667034347332905
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,session_range_pct_raw,47,0,0,0.0,0.5152932709607771,0.13436789255200188
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,opening_drive_30m_raw,47,0,0,-0.07158703071672357,0.09478759210406618,-0.011971571061738021
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,pullback_from_session_high_raw,47,0,0,-0.25555555555555565,0.0,-0.07393916328490231
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,session_vwap_distance_raw,47,0,0,-0.06772041778538851,0.04735967703705968,0.0013508203656331487
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,open_norm,47,0,0,0.1279,6.4097,3.0933000000000006
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,close_norm,47,0,0,0.1216,6.1,3.0317744680851058
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,high_norm,47,0,0,0.128,6.98,3.222197872340426
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,low_norm,47,0,0,0.1156,5.88,2.895891489361702
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,session_range_abs_norm,47,0,0,0.0,1.2300000000000004,0.32630638297872344
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,realized_vol_1d_norm,47,0,0,0.0,0.5204553709951614,0.1413786612735635
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,max_future_split_factor_in_day,47,0,0,0.016666666666666666,1.0,0.5606382978723404
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,gap_open_vs_prev_close,47,1,0,-0.043656207366984945,51.71134868421053,1.1277047606851347
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,open_vs_prev_session_close,47,1,0,-0.043656207366984945,51.71134868421053,1.1277047606851347
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,open_vs_prev_session_high,47,1,0,-0.2500000000000002,49.07578125,0.996666956320394
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,open_vs_prev_session_low,47,1,0,-0.0017383746197304761,51.798187808896216,1.1896540771919641
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,multi_session_return_3d_to_open,47,3,0,-0.2857142857142858,47.125493291239145,3.0369666119470824
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,multi_session_return_5d_to_open,47,5,0,-0.33385416666666656,46.12088815789473,4.469049829028723
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,distance_to_prev_day_range_center,47,1,0,-0.11533420707732656,50.4009623095429,1.0857012240617383
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,prev_day_range_pct_norm,47,1,0,0.0,0.44763988746483263,0.14061453494019768
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,range_expansion_vs_prev_day_norm,47,2,0,-1.0,6595.999999956781,151.33086178508194
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,distance_to_n_day_high_5,47,2,0,-0.3977386934673366,31.048499999999997,0.5050591394369492
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,distance_to_n_day_low_5,47,2,0,0.024793388429751984,54.44723183391004,5.425720138976038
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,realized_vol_prev_3_sessions_norm,47,1,0,0.05640108791749964,0.31008597685369615,0.14298930560925205
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,overnight_gap_zscore_20,47,6,0,-3.2577723734152504,2522.148997725641,61.38805435851756
ticker=BNGO/year=2025/day_features_BNGO_2025.parquet,year,47,0,0,2025.0,2025.0,2025.0
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,bar_count_raw,48,0,0,3.0,846.0,233.85416666666666
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,open_raw,48,0,0,1.79,8.0,4.71104375
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,close_raw,48,0,0,1.85,8.28,4.63720625
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,high_raw,48,0,0,2.0,8.4,5.201877083333334
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,low_raw,48,0,0,1.55,7.64,4.238520833333333
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,cum_volume_session_raw,48,0,0,40.975,31480020.0,1526836.3630208329
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,session_vwap_raw,48,0,0,1.7685898351424045,7.9555276623729,4.6632543571594836
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,intraday_return_since_open_raw,48,0,0,-0.262,0.5839784027988209,-0.0014475007602978453
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,session_range_pct_raw,48,0,0,0.007025761124121631,0.8126497892620037,0.22638692282888476
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,opening_drive_30m_raw,48,0,0,-0.15600000000000003,0.29569892473118276,-0.0021772337227082736
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,pullback_from_session_high_raw,48,0,0,-0.3356164383561644,0.0,-0.10875134399254976
