relative_path,group,symbol_dir,file_kind,rows,columns,required_time_column_present
etfs/DIA/day.parquet,etfs,DIA,day,5593,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/DIA/minute.parquet,etfs,DIA,minute,2542922,timestamp|open|high|low|close|volume|vwap,True
etfs/EEM/day.parquet,etfs,EEM,day,5593,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/EEM/minute.parquet,etfs,EEM,minute,2391115,timestamp|open|high|low|close|volume|vwap,True
etfs/EFA/day.parquet,etfs,EFA,day,5593,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/EFA/minute.parquet,etfs,EFA,minute,2199125,timestamp|open|high|low|close|volume|vwap,True
etfs/FXE/day.parquet,etfs,FXE,day,5024,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/FXE/minute.parquet,etfs,FXE,minute,970892,timestamp|open|high|low|close|volume|vwap,True
etfs/GLD/day.parquet,etfs,GLD,day,5292,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/GLD/minute.parquet,etfs,GLD,minute,2693592,timestamp|open|high|low|close|volume|vwap,True
etfs/HYG/day.parquet,etfs,HYG,day,4747,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/HYG/minute.parquet,etfs,HYG,minute,1714912,timestamp|open|high|low|close|volume|vwap,True
etfs/IWM/day.parquet,etfs,IWM,day,5593,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/IWM/minute.parquet,etfs,IWM,minute,3120102,timestamp|open|high|low|close|volume|vwap,True
etfs/LQD/day.parquet,etfs,LQD,day,5593,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/LQD/minute.parquet,etfs,LQD,minute,1825488,timestamp|open|high|low|close|volume|vwap,True
etfs/QQQ/day.parquet,etfs,QQQ,day,4005,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/QQQ/minute.parquet,etfs,QQQ,minute,2715473,timestamp|open|high|low|close|volume|vwap,True
etfs/SLV/day.parquet,etfs,SLV,day,4930,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/SLV/minute.parquet,etfs,SLV,minute,2435839,timestamp|open|high|low|close|volume|vwap,True
etfs/SPSM/day.parquet,etfs,SPSM,day,2043,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/SPSM/minute.parquet,etfs,SPSM,minute,576798,timestamp|open|high|low|close|volume|vwap,True
etfs/SPY/day.parquet,etfs,SPY,day,5593,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/SPY/minute.parquet,etfs,SPY,minute,4021590,timestamp|open|high|low|close|volume|vwap,True
etfs/TLT/day.parquet,etfs,TLT,day,5593,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/TLT/minute.parquet,etfs,TLT,minute,2448661,timestamp|open|high|low|close|volume|vwap,True
etfs/UNG/day.parquet,etfs,UNG,day,4687,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/UNG/minute.parquet,etfs,UNG,minute,2204269,timestamp|open|high|low|close|volume|vwap,True
etfs/USO/day.parquet,etfs,USO,day,4943,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/USO/minute.parquet,etfs,USO,minute,2367075,timestamp|open|high|low|close|volume|vwap,True
etfs/UUP/day.parquet,etfs,UUP,day,4726,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/UUP/minute.parquet,etfs,UUP,minute,1266245,timestamp|open|high|low|close|volume|vwap,True
etfs/UVXY/day.parquet,etfs,UVXY,day,3561,volume|open|close|high|low|trades|vwap|datetime|date,True
etfs/UVXY/minute.parquet,etfs,UVXY,minute,2375050,timestamp|open|high|low|close|volume|vwap,True
etfs/VB/day.parquet,etfs,VB,day,5495,volume|vwap|open|close|high|low|trades|datetime|date,True
etfs/VB/minute.parquet,etfs,VB,minute,1444291,timestamp|open|high|low|close|volume|vwap,True
etfs/VIXY/day.parquet,etfs,VIXY,day,3750,volume|vwap|open|close|high|low|trades|datetime|date,True
