ticker,date,total_volume,short_volume,exempt_volume,non_exempt_volume,short_volume_ratio,nyse_short_volume,nyse_short_volume_exempt,nasdaq_carteret_short_volume,nasdaq_carteret_short_volume_exempt,nasdaq_chicago_short_volume,nasdaq_chicago_short_volume_exempt,adf_short_volume,adf_short_volume_exempt,orf_short_volume,orf_short_volume_exempt
ABEO,2018-08-01,121624.0,85788.0,1175.0,84613.0,70.54,2822.0,0.0,82966.0,1175.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-02,111683.0,64938.0,400.0,64538.0,58.14,4921.0,0.0,60017.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-03,63798.0,34825.0,0.0,34825.0,54.59,1486.0,0.0,33339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-06,46388.0,30748.0,0.0,30748.0,66.28,1213.0,0.0,29535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-07,68650.0,35586.0,0.0,35586.0,51.84,4645.0,0.0,30941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-08,54527.0,38927.0,0.0,38927.0,71.39,4837.0,0.0,34090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-09,205876.0,37077.0,0.0,37077.0,18.01,7257.0,0.0,29820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-10,81480.0,40875.0,0.0,40875.0,50.17,5843.0,0.0,35032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-13,137007.0,59239.0,0.0,59239.0,43.24,6165.0,0.0,53074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-14,120648.0,54990.0,0.0,54990.0,45.58,8121.0,0.0,46869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-15,295235.0,40521.0,0.0,40521.0,13.72,9651.0,0.0,30870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-16,147722.0,45092.0,0.0,45092.0,30.52,5615.0,0.0,39477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-17,91247.0,42930.0,500.0,42430.0,47.05,8811.0,0.0,34119.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-20,93432.0,28549.0,800.0,27749.0,30.56,6220.0,0.0,22329.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-21,128046.0,29347.0,0.0,29347.0,22.92,3081.0,0.0,26266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-22,109406.0,17902.0,0.0,17902.0,16.36,404.0,0.0,17498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-23,65839.0,32617.0,0.0,32617.0,49.54,4939.0,0.0,27678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-24,101749.0,20587.0,0.0,20587.0,20.23,583.0,0.0,20004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-27,139890.0,52828.0,0.0,52828.0,37.76,14364.0,0.0,38464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2018-08-28,124006.0,51697.0,0.0,51697.0,41.69,3395.0,0.0,48302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
