dataset,column,rows,nulls,negative_rows,inf_rows,min,max
short_interest,short_interest,505745,0,0,0,1.0,433708019.0
short_interest,avg_daily_volume,505745,0,0,0,0.0,993620246.0
short_interest,days_to_cover,505745,0,0,0,1.0,999.99
short_volume,total_volume,4689038,0,0,0,0.043664,2572809756.0
short_volume,short_volume,4689038,0,0,0,0.014554,1299571125.0
short_volume,exempt_volume,4689038,0,0,0,0.0,187833302.0
short_volume,non_exempt_volume,4689038,0,0,0,0.0,1285951724.0
short_volume,short_volume_ratio,4689038,0,0,0,0.0,100.0
short_volume,nyse_short_volume,4689038,0,0,0,0.0,263234248.0
short_volume,nyse_short_volume_exempt,4689038,0,0,0,0.0,9788900.0
short_volume,nasdaq_carteret_short_volume,4689038,0,0,0,0.0,1272552348.0
short_volume,nasdaq_carteret_short_volume_exempt,4689038,0,0,0,0.0,185410735.0
short_volume,nasdaq_chicago_short_volume,4689038,0,0,0,0.0,16375964.0
short_volume,nasdaq_chicago_short_volume_exempt,4689038,0,0,0,0.0,4641877.0
short_volume,adf_short_volume,4689038,0,0,0,0.0,0.0
short_volume,adf_short_volume_exempt,4689038,0,0,0,0.0,0.0
short_volume,orf_short_volume,4689038,0,0,0,0.0,181819.0
short_volume,orf_short_volume_exempt,4689038,0,0,0,0.0,0.0
