ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
ASTI,2007-12-24,HARD_FAIL__daily_range__confirmed__>5,0.0,11.312700106723586,8,,nan,>1x_other,100.0,100.0,100.0,,,,,100.0,937.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ASTI\year=2007\month=12\day=2007-12-24\market.parquet,['trade_price_outside_daily_range'],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],401002000000000.0,422000000000000.0,,20.0501,21.1,20.441730895392404,937.0,True,True,D:\ohlcv_1m\ticker=ASTI\year=2007\month=12\minute_aggs_ASTI_2007_12.parquet,D:\ohlcv_daily\ticker=ASTI\year=2007\day_aggs_ASTI_2007.parquet,early,duplicate_break,sev_low,57f_stratified_v0_1,00547e61d23bd334338bdbf0c3994f9631ffb7fc
ASTI,2009-10-27,HARD_FAIL__daily_range__confirmed__>5,0.07668711656441718,13.803680981595093,8,,nan,>1x_other,100.0,100.0,100.0,,,,,100.0,1304.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ASTI\year=2009\month=10\day=2009-10-27\market.parquet,['negative_or_zero_size_rows' 'trade_price_outside_daily_range'],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],119400000000000.0,123600000000000.0,,5.97,6.18,6.029363254162647,1304.0,True,True,D:\ohlcv_1m\ticker=ASTI\year=2009\month=10\minute_aggs_ASTI_2009_10.parquet,D:\ohlcv_daily\ticker=ASTI\year=2009\day_aggs_ASTI_2009.parquet,early,duplicate_break,sev_low,57f_stratified_v0_1,015bd5269909f705afd45b5d96d906288292925e
ASTI,2010-11-26,HARD_FAIL__daily_range__confirmed__>5,0.0,16.93548387096774,11,,nan,>1x_other,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,372.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ASTI\year=2010\month=11\day=2010-11-26\market.parquet,['trade_price_outside_daily_range'],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],66800000000000.0,70000000000000.0,,3.34,3.5,3.37667052727384,372.0,True,True,D:\ohlcv_1m\ticker=ASTI\year=2010\month=11\minute_aggs_ASTI_2010_11.parquet,D:\ohlcv_daily\ticker=ASTI\year=2010\day_aggs_ASTI_2010.parquet,early,duplicate_break,sev_low,57f_stratified_v0_1,012546709d391b3610cd41556ba5a337a1eedc9d
ASTI,2011-01-05,HARD_FAIL__daily_range__confirmed__>5,0.0,10.005078720162519,17,,nan,>1x_other,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,1969.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ASTI\year=2011\month=01\day=2011-01-05\market.parquet,['trade_price_outside_daily_range'],"['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'
 'trade_price_outside_1m_range']",71602000000000.0,76000000000000.0,,3.5801,3.8,3.709942970986578,1969.0,True,True,D:\ohlcv_1m\ticker=ASTI\year=2011\month=01\minute_aggs_ASTI_2011_01.parquet,D:\ohlcv_daily\ticker=ASTI\year=2011\day_aggs_ASTI_2011.parquet,early,duplicate_break,sev_low,57f_stratified_v0_1,0185d6da60e636ee3abdf183eadf920cc8c01bd7
DCTH,2005-12-29,HARD_FAIL__daily_range__confirmed__>5,0.0,13.333333333333334,4,,nan,>1x_other,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,45.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\DCTH\year=2005\month=12\day=2005-12-29\market.parquet,['trade_price_outside_daily_range'],"['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'
 'trade_price_outside_1m_range']",100665600000.0,104428800000.0,,3.21,3.33,3.2825948195540096,45.0,True,True,D:\ohlcv_1m\ticker=DCTH\year=2005\month=12\minute_aggs_DCTH_2005_12.parquet,D:\ohlcv_daily\ticker=DCTH\year=2005\day_aggs_DCTH_2005.parquet,early,duplicate_break,sev_low,57f_stratified_v0_1,01951eb7aa110e7c2c6a55582057e02195cf98e5
WSBF,2009-08-14,HARD_FAIL__control,1.3888888888888888,11.11111111111111,2,0.6707666612858741,~1x,~1x,0.0,0.0,0.0,1.3888888888888888,0.0,1.4084507042253522,1.4084507042253522,0.0,72.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\WSBF\year=2009\month=08\day=2009-08-14\market.parquet,['negative_or_zero_size_rows'],['duplicate_excess_ratio_gt_threshold'],4.97,5.5,5.0758,4.97,5.5,5.1098467741935485,72.0,True,True,D:\ohlcv_1m\ticker=WSBF\year=2009\month=08\minute_aggs_WSBF_2009_08.parquet,D:\ohlcv_daily\ticker=WSBF\year=2009\day_aggs_WSBF_2009.parquet,early,duplicate_break,sev_low,57f_stratified_v0_1,003b37ce22ba3769416dde7dff393b3ae90d3a77
CWBC,2006-01-10,HARD_FAIL__control,16.666666666666664,0.0,2,6.67611846653712e-05,~1x,~1x,0.0,0.0,0.0,16.666666666666664,0.0,20.0,20.0,0.0,6.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CWBC\year=2006\month=01\day=2006-01-10\market.parquet,['negative_or_zero_size_rows'],['rows_lt_10'],14.0,14.0366,14.0055,14.0,14.0366,14.005490649762281,6.0,True,True,D:\ohlcv_1m\ticker=CWBC\year=2006\month=01\minute_aggs_CWBC_2006_01.parquet,D:\ohlcv_daily\ticker=CWBC\year=2006\day_aggs_CWBC_2006.parquet,early,mixed_bad,sev_low,57f_stratified_v0_1,001507748cdfe97eb08d3f24c9b117cde7963d9c
FSB,2006-05-03,SOFT_FAIL__control,0.0,0.0,1,0.05909050171129414,~1x,~1x,21.428571428571427,21.428571428571427,55.03375403580863,0.0,,0.0,0.0,27.272727272727273,14.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\FSB\year=2006\month=05\day=2006-05-03\market.parquet,[],['trade_price_outside_1m_range'],24.995,25.03,25.0125,24.994,25.05,25.027280011740537,14.0,True,True,D:\ohlcv_1m\ticker=FSB\year=2006\month=05\minute_aggs_FSB_2006_05.parquet,D:\ohlcv_daily\ticker=FSB\year=2006\day_aggs_FSB_2006.parquet,early,mixed_bad,sev_low,57f_stratified_v0_1,00563b9272e8016cef203188fa4fa64a9534cbb1
GIA,2010-09-01,HARD_FAIL__daily_range__confirmed__<=0.01,0.0,0.0,2,0.004317837626930169,~1x,~1x,25.0,25.0,96.11650485436893,0.0,,0.0,0.0,33.333333333333336,4.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\GIA\year=2010\month=09\day=2010-09-01\market.parquet,['duplicate_excess_ratio_gt_hard_cap' 'trade_price_outside_daily_range'],['rows_lt_10' 'trade_price_outside_1m_range'],0.615,0.639,0.6071,0.606,0.639,0.6071262135922331,4.0,True,True,D:\ohlcv_1m\ticker=GIA\year=2010\month=09\minute_aggs_GIA_2010_09.parquet,D:\ohlcv_daily\ticker=GIA\year=2010\day_aggs_GIA_2010.parquet,early,mixed_bad,sev_low,57f_stratified_v0_1,00bf94250817e7aa904a7d8bdfe7f1a36ef30825
NTN,2007-08-14,HARD_FAIL__daily_range__confirmed__0.05-0.10,0.0,4.0,4,4.447506397570082,near_1x,near_0.9091x,2.0,2.0,45.37205081669691,0.0,,0.0,0.0,3.4482758620689653,50.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\NTN\year=2007\month=08\day=2007-08-14\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],0.831,0.94,0.9759,0.831,1.0,0.9324967850661136,50.0,True,True,D:\ohlcv_1m\ticker=NTN\year=2007\month=08\minute_aggs_NTN_2007_08.parquet,D:\ohlcv_daily\ticker=NTN\year=2007\day_aggs_NTN_2007.parquet,early,mixed_bad,sev_low,57f_stratified_v0_1,001293fb6fc2e7ed0750243cffcbf98e7ebf354b
