ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
BH,2010-11-22,SOFT_FAIL__control,65.13157894736842,0.0,5,0.1032882022509527,~1x,~1x,0.0,0.0,0.0,0.6622516556291391,0.0,1.9230769230769231,1.9230769230769231,0.0,152.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BH\year=2010\month=11\day=2010-11-22\market.parquet,[],['duplicate_exact_trade_rows_present' 'off_session_trades_present'],350.0,369.57,360.9333,350.0,369.57,360.56049848310494,152.0,True,True,D:\ohlcv_1m\ticker=BH\year=2010\month=11\minute_aggs_BH_2010_11.parquet,D:\ohlcv_daily\ticker=BH\year=2010\day_aggs_BH_2010.parquet,early,good,pristine,57f_stratified_v0_1,5b87f1dfbee0193f80c4d02186376a327e91174b
BH,2011-04-29,SOFT_FAIL__control,93.75,0.0,2,0.040848757704296815,~1x,~1x,0.0,0.0,0.0,0.625,0.0,10.0,10.0,0.0,160.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BH\year=2011\month=04\day=2011-04-29\market.parquet,[],['duplicate_exact_trade_rows_present'],426.63,439.02,435.6719,426.63,439.02,435.4939334411833,160.0,True,True,D:\ohlcv_1m\ticker=BH\year=2011\month=04\minute_aggs_BH_2011_04.parquet,D:\ohlcv_daily\ticker=BH\year=2011\day_aggs_BH_2011.parquet,early,good,pristine,57f_stratified_v0_1,d39f1923a2976bf2091c761ceb8f0320610e7f27
BH,2012-04-16,SOFT_FAIL__control,100.0,0.0,3,0.10718452359741984,~1x,~1x,0.0,,,0.0,0.0,,,0.0,43.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BH\year=2012\month=04\day=2012-04-16\market.parquet,[],['duplicate_exact_trade_rows_present'],405.08,410.34,407.3364,405.08,410.34,406.89979842022115,43.0,True,True,D:\ohlcv_1m\ticker=BH\year=2012\month=04\minute_aggs_BH_2012_04.parquet,D:\ohlcv_daily\ticker=BH\year=2012\day_aggs_BH_2012.parquet,early,good,pristine,57f_stratified_v0_1,60bc4ca59f49312876e3b3d39c31bcbb57697cf1
BH,2012-10-26,SOFT_FAIL__control,100.0,0.0,5,0.042309143447080394,~1x,~1x,0.0,,,0.0,0.0,,,0.0,48.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BH\year=2012\month=10\day=2012-10-26\market.parquet,[],['duplicate_excess_ratio_gt_threshold'],350.5,354.45,351.7819,350.5,354.45,351.63306409130814,48.0,True,True,D:\ohlcv_1m\ticker=BH\year=2012\month=10\minute_aggs_BH_2012_10.parquet,D:\ohlcv_daily\ticker=BH\year=2012\day_aggs_BH_2012.parquet,early,good,pristine,57f_stratified_v0_1,b3abb7de0af17bd18fc6b0f9ca8e5a0ee0020b87
BH,2012-11-06,SOFT_FAIL__control,100.0,0.0,3,0.039179926563701076,~1x,~1x,0.0,,,0.0,0.0,,,0.0,29.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BH\year=2012\month=11\day=2012-11-06\market.parquet,[],['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'],370.38,374.08,373.5886,370.38,374.08,373.4422282608696,29.0,True,True,D:\ohlcv_1m\ticker=BH\year=2012\month=11\minute_aggs_BH_2012_11.parquet,D:\ohlcv_daily\ticker=BH\year=2012\day_aggs_BH_2012.parquet,early,good,pristine,57f_stratified_v0_1,fa4276e30f016335a52c706d7a5655c1d0592bb6
BH,2012-11-21,SOFT_FAIL__control,100.0,0.0,3,0.051354275814102304,~1x,~1x,0.0,,,0.0,0.0,,,0.0,34.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BH\year=2012\month=11\day=2012-11-21\market.parquet,[],['duplicate_exact_trade_rows_present' 'off_session_trades_present'],336.45,340.14,339.0312,336.45,340.0,338.85709298245615,34.0,True,True,D:\ohlcv_1m\ticker=BH\year=2012\month=11\minute_aggs_BH_2012_11.parquet,D:\ohlcv_daily\ticker=BH\year=2012\day_aggs_BH_2012.parquet,early,good,pristine,57f_stratified_v0_1,02e728d8fbca879f77ae161c594c4fd8d71c828d
BH,2012-12-03,SOFT_FAIL__control,100.0,0.0,3,0.0676314265355706,~1x,~1x,0.0,,,0.0,0.0,,,0.0,64.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BH\year=2012\month=12\day=2012-12-03\market.parquet,[],['duplicate_exact_trade_rows_present' 'off_session_trades_present'],358.0,368.1,361.2452,358.0,368.1,361.4895152820513,64.0,True,True,D:\ohlcv_1m\ticker=BH\year=2012\month=12\minute_aggs_BH_2012_12.parquet,D:\ohlcv_daily\ticker=BH\year=2012\day_aggs_BH_2012.parquet,early,good,pristine,57f_stratified_v0_1,a9c0cd08412a383ad80471a39fe613d17e77654c
ALTS,2016-01-19,SOFT_FAIL__control,16.071428571428573,0.0,1,0.009596109549133178,~1x,~1x,0.8928571428571428,1.0638297872340425,0.8270614506657845,0.9174311926605505,6.25,0.0,0.0,3.125,112.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ALTS\year=2016\month=01\day=2016-01-19\market.parquet,[],['off_session_trades_present' 'trade_price_outside_1m_range'],36.9,37.26,37.0463,36.9,37.2999,37.0498550035319,112.0,True,True,D:\ohlcv_1m\ticker=ALTS\year=2016\month=01\minute_aggs_ALTS_2016_01.parquet,D:\ohlcv_daily\ticker=ALTS\year=2016\day_aggs_ALTS_2016.parquet,mid,good,pristine,57f_stratified_v0_1,623823efff25b63fd773019520ab2a5f5e0ca267
BH,2013-10-17,SOFT_FAIL__control,100.0,0.0,4,0.057256245442458574,~1x,~1x,0.7936507936507936,,,0.7936507936507936,0.7936507936507936,,,1.8181818181818181,126.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BH\year=2013\month=10\day=2013-10-17\market.parquet,[],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],413.05,417.8,414.6224,411.14,417.8,414.85979721900344,126.0,True,True,D:\ohlcv_1m\ticker=BH\year=2013\month=10\minute_aggs_BH_2013_10.parquet,D:\ohlcv_daily\ticker=BH\year=2013\day_aggs_BH_2013.parquet,mid,good,pristine,57f_stratified_v0_1,99c694eb7146754fcfce028480baf34edf509ac1
BH.A,2018-08-17,PASS__control,100.0,0.0,1,0.3133681429729909,~1x,~1x,0.0,,,0.0,0.0,,,0.0,19.0,good,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BH.A\year=2018\month=08\day=2018-08-17\market.parquet,[],[],965.0101,989.99,973.1404,965.0101,989.99,976.1899119999999,19.0,True,True,D:\ohlcv_1m\ticker=BH.A\year=2018\month=08\minute_aggs_BH.A_2018_08.parquet,D:\ohlcv_daily\ticker=BH.A\year=2018\day_aggs_BH.A_2018.parquet,mid,good,pristine,57f_stratified_v0_1,6f760d3b56f5001dd32c622d6aa2f7129a0bad1b
