ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
PMD,2008-10-14,HARD_FAIL__daily_range__confirmed__0.10-0.25,0.0,13.559322033898304,4,1.0353739258096795,~1x,~1x,1.694915254237288,1.694915254237288,1.3921759710427397,91.52542372881356,,91.52542372881356,91.52542372881356,2.7777777777777777,59.0,review_1m_reference_alignment,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2008\month=10\day=2008-10-14\market.parquet,['duplicate_excess_ratio_gt_hard_cap' 'trade_price_outside_daily_range'],['trade_price_outside_1m_range'],10.5,11.5,11.0,10.28,11.5,10.886108868160935,59.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2008\month=10\minute_aggs_PMD_2008_10.parquet,D:\ohlcv_daily\ticker=PMD\year=2008\day_aggs_PMD_2008.parquet,early,mild_daily,sev_mid,57f_stratified_v0_1,13efd7b50fe5a85d47748654603b73cba7911205
PMD,2005-09-01,PASS__control,0.0,0.0,1,0.9147126436781624,~1x,~1x,0.0,0.0,0.0,100.0,,100.0,100.0,0.0,14.0,review_1m_reference_alignment,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2005\month=09\day=2005-09-01\market.parquet,[],[],14.5,15.0,15.0,14.72,14.93,14.862793103448276,14.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2005\month=09\minute_aggs_PMD_2005_09.parquet,D:\ohlcv_daily\ticker=PMD\year=2005\day_aggs_PMD_2005.parquet,early,tight_daily,sev_low,57f_stratified_v0_1,01c09952c2034e2e6392759b9fe93a099346d541
PMD,2010-06-02,PASS__control,2.941176470588235,0.0,3,1.3571112958600966,~1x,~1x,0.0,0.0,0.0,82.35294117647058,0.0,84.84848484848484,84.84848484848484,0.0,34.0,review_1m_reference_alignment,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2010\month=06\day=2010-06-02\market.parquet,[],[],8.5,9.0,9.0,8.62,8.9767,8.877859983372591,34.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2010\month=06\minute_aggs_PMD_2010_06.parquet,D:\ohlcv_daily\ticker=PMD\year=2010\day_aggs_PMD_2010.parquet,early,tight_daily,sev_low,57f_stratified_v0_1,003e0ba37ced938a1baf230e8abb8b8538904c41
PMD,2010-06-03,SOFT_FAIL__control,0.0,0.0,2,2.5932606155044917,~1x,~1x,0.0,0.0,0.0,100.0,,100.0,100.0,0.0,21.0,review_1m_reference_alignment,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2010\month=06\day=2010-06-03\market.parquet,[],['duplicate_excess_ratio_gt_threshold'],8.5,9.0,8.5,8.67,8.7799,8.720427152317882,21.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2010\month=06\minute_aggs_PMD_2010_06.parquet,D:\ohlcv_daily\ticker=PMD\year=2010\day_aggs_PMD_2010.parquet,early,tight_daily,sev_low,57f_stratified_v0_1,00b88d99c94d8836485e199be10cfb4f3a99d7fb
PMD,2012-05-22,SOFT_FAIL__control,0.0,12.903225806451612,5,1.7652869598543752,~1x,~1x,0.0,0.0,0.0,100.0,,100.0,100.0,0.0,31.0,review_1m_reference_alignment,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2012\month=05\day=2012-05-22\market.parquet,[],['duplicate_excess_ratio_gt_threshold'],9.5,10.0,10.0,9.73,9.9661,9.823471304014562,31.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2012\month=05\minute_aggs_PMD_2012_05.parquet,D:\ohlcv_daily\ticker=PMD\year=2012\day_aggs_PMD_2012.parquet,early,tight_daily,sev_low,57f_stratified_v0_1,026368fc30a4c98c99fbc8cc8e9ddfd5d9fbcac8
PMD,2012-07-20,SOFT_FAIL__control,0.0,0.0,3,1.4548623074165536,~1x,~1x,0.0,0.0,0.0,93.02325581395348,,93.02325581395348,93.02325581395348,0.0,43.0,review_1m_reference_alignment,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2012\month=07\day=2012-07-20\market.parquet,[],['duplicate_exact_trade_rows_present'],10.0,10.5,10.5,10.22,10.44,10.347239457721262,43.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2012\month=07\minute_aggs_PMD_2012_07.parquet,D:\ohlcv_daily\ticker=PMD\year=2012\day_aggs_PMD_2012.parquet,early,tight_daily,sev_low,57f_stratified_v0_1,000841df8e6f643a457941806818ab99b2a788f9
PMD,2009-01-13,SOFT_FAIL__control,0.0,5.714285714285714,3,2.271231150255737,~1x,~1x,2.857142857142857,2.857142857142857,1.9051247856734617,91.42857142857143,,91.42857142857143,91.42857142857143,5.0,35.0,review_1m_reference_alignment,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2009\month=01\day=2009-01-13\market.parquet,[],"['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'
 'trade_price_outside_1m_range']",6.5,7.0,6.5,6.5,7.04,6.647630024766623,35.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2009\month=01\minute_aggs_PMD_2009_01.parquet,D:\ohlcv_daily\ticker=PMD\year=2009\day_aggs_PMD_2009.parquet,early,wider_daily,sev_high,57f_stratified_v0_1,00d2eeb1dda6cbc78f3853951d4be02cca76fe64
GPRK,2015-07-21,SOFT_FAIL__control,12.068965517241379,3.4482758620689653,7,0.3968202483826424,~1x,~1x,3.4482758620689653,1.9607843137254901,2.4752475247524752,41.509433962264154,50.0,41.17647058823529,41.17647058823529,5.882352941176471,58.0,review_1m_reference_alignment,D:\trades_ticks_prod_2005_2026\GPRK\year=2015\month=07\day=2015-07-21\market.parquet,[],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],3.6853,4.004,3.8487,3.7,4.03,3.8639724208995028,58.0,True,True,D:\ohlcv_1m\ticker=GPRK\year=2015\month=07\minute_aggs_GPRK_2015_07.parquet,D:\ohlcv_daily\ticker=GPRK\year=2015\day_aggs_GPRK_2015.parquet,mid,mild_daily,sev_mid,57f_stratified_v0_1,00538eb9c770d6a9667106f4ea8f9eeac3bde1f5
QBAK,2017-06-30,SOFT_FAIL__control,26.29310344827586,0.0,1,0.09110687464067077,~1x,~1x,2.1551724137931036,1.7543859649122806,0.40214477211796246,32.863849765258216,26.190476190476193,34.50292397660819,34.50292397660819,4.0,232.0,review_1m_reference_alignment,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\QBAK\year=2017\month=06\day=2017-06-30\market.parquet,[],['trade_price_outside_1m_range'],5.1,5.4,5.2,5.05,5.37,5.195262442518685,232.0,True,True,D:\ohlcv_1m\ticker=QBAK\year=2017\month=06\minute_aggs_QBAK_2017_06.parquet,D:\ohlcv_daily\ticker=QBAK\year=2017\day_aggs_QBAK_2017.parquet,mid,mild_daily,sev_mid,57f_stratified_v0_1,0152828ea821b9a23817605d841aafb5de0d4608
QBAK,2017-07-25,SOFT_FAIL__control,32.277628032345014,0.0,2,0.1777661117492218,~1x,~1x,1.280323450134771,1.3930348258706469,0.6602132030077077,46.241134751773046,57.53086419753086,41.691542288557216,41.691542288557216,1.0204081632653061,1484.0,review_1m_reference_alignment,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\QBAK\year=2017\month=07\day=2017-07-25\market.parquet,[],['trade_price_outside_1m_range'],9.7,12.2,10.7,9.68,12.2,10.680979026042833,1484.0,True,True,D:\ohlcv_1m\ticker=QBAK\year=2017\month=07\minute_aggs_QBAK_2017_07.parquet,D:\ohlcv_daily\ticker=QBAK\year=2017\day_aggs_QBAK_2017.parquet,mid,mild_daily,sev_mid,57f_stratified_v0_1,011239aae6babd2735d1c6627369e5dc9ecff3b7
FLGT,2018-07-03,PASS__control,10.0,0.0,1,0.45088462030671145,~1x,~1x,0.0,0.0,0.0,44.44444444444444,,44.44444444444444,44.44444444444444,0.0,10.0,review_1m_reference_alignment,D:\trades_ticks_prod_2005_2026\FLGT\year=2018\month=07\day=2018-07-03\market.parquet,[],[],4.02,4.27,4.0695,4.02,4.27,4.087848749623381,10.0,True,True,D:\ohlcv_1m\ticker=FLGT\year=2018\month=07\minute_aggs_FLGT_2018_07.parquet,D:\ohlcv_daily\ticker=FLGT\year=2018\day_aggs_FLGT_2018.parquet,mid,tight_daily,sev_low,57f_stratified_v0_1,025e9be6c88d3be1978fc5088b9abc17844cd0ad
