ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
MLAB,2015-04-17,SOFT_FAIL__control,41.17647058823529,5.098039215686274,6,0.045765825168690946,~1x,~1x,0.39215686274509803,0.0,0.0,20.27027027027027,62.5,0.0,0.0,1.3333333333333333,255.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\MLAB\year=2015\month=04\day=2015-04-17\market.parquet,[],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],74.2,77.99,76.4647,74.2,78.0,76.42970529908223,255.0,True,True,D:\ohlcv_1m\ticker=MLAB\year=2015\month=04\minute_aggs_MLAB_2015_04.parquet,D:\ohlcv_daily\ticker=MLAB\year=2015\day_aggs_MLAB_2015.parquet,mid,duplicate_burst,sev_mid,57f_stratified_v0_1,000709155eabc41398d9a3dca2b0eef4a71cade8
GBLI,2016-04-04,SOFT_FAIL__control,53.73134328358209,0.0,1,0.06750918842317122,~1x,~1x,1.4925373134328357,0.0,0.0,30.434782608695656,66.0377358490566,0.0,0.0,4.545454545454546,134.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\GBLI\year=2016\month=04\day=2016-04-04\market.parquet,[],['trade_price_outside_1m_range'],30.445,31.04,30.7521,30.42,31.1,30.77286049313308,134.0,True,True,D:\ohlcv_1m\ticker=GBLI\year=2016\month=04\minute_aggs_GBLI_2016_04.parquet,D:\ohlcv_daily\ticker=GBLI\year=2016\day_aggs_GBLI_2016.parquet,mid,mixed_micro,sev_high,57f_stratified_v0_1,000bb4df285c16251ee53a86672aea495bf78fe3
BSET,2018-05-16,SOFT_FAIL__control,62.88,0.0,2,0.03655141626561117,~1x,~1x,0.16,0.0,0.0,,,,,0.5263157894736842,625.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BSET\year=2018\month=05\day=2018-05-16\market.parquet,[],['trade_price_outside_1m_range'],27.7,28.0,27.9092,27.7,28.15,27.898998792131597,625.0,True,True,D:\ohlcv_1m\ticker=BSET\year=2018\month=05\minute_aggs_BSET_2018_05.parquet,D:\ohlcv_daily\ticker=BSET\year=2018\day_aggs_BSET_2018.parquet,mid,mixed_micro,sev_low,57f_stratified_v0_1,0003b92636ee6d1a62c346c0d9d8176d384f2123
NC,2015-11-03,HARD_FAIL__daily_range__confirmed__0.50-1,52.10084033613446,0.0,1,0.0037705759847911774,~1x,~1x,4.201680672268908,0.0,0.0,16.18705035971223,41.284403669724774,0.0,0.0,9.195402298850574,357.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\NC\year=2015\month=11\day=2015-11-03\market.parquet,['trade_price_outside_daily_range'],['off_session_trades_present' 'trade_price_outside_1m_range'],45.83,47.34,46.5973,45.08,47.68,46.59905698660336,357.0,True,True,D:\ohlcv_1m\ticker=NC\year=2015\month=11\minute_aggs_NC_2015_11.parquet,D:\ohlcv_daily\ticker=NC\year=2015\day_aggs_NC_2015.parquet,mid,mixed_micro,sev_mid,57f_stratified_v0_1,00041d631febcf7fcaf680e48b6f6563a3982f13
WTBA,2015-09-30,HARD_FAIL__daily_range__confirmed__0.25-0.50,66.15384615384615,0.0,1,0.09056473020398566,~1x,~1x,12.307692307692308,0.0,0.0,18.181818181818183,36.36363636363637,0.0,0.0,25.0,130.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\WTBA\year=2015\month=09\day=2015-09-30\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],18.53,18.89,18.7329,18.1401,18.94,18.749865400344383,130.0,True,True,D:\ohlcv_1m\ticker=WTBA\year=2015\month=09\minute_aggs_WTBA_2015_09.parquet,D:\ohlcv_daily\ticker=WTBA\year=2015\day_aggs_WTBA_2015.parquet,mid,mixed_micro,sev_mid,57f_stratified_v0_1,0001549f87ce9e3d97e97a084112ccc2c00a3d06
EML,2017-07-21,SOFT_FAIL__control,78.29457364341084,0.0,1,0.32470141952505466,~1x,~1x,8.527131782945736,0.0,0.0,,,,,7.8125,129.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\EML\year=2017\month=07\day=2017-07-21\market.parquet,[],['trade_price_outside_1m_range'],29.9,30.5,30.1192,29.7801,30.55,30.21699746994959,129.0,True,True,D:\ohlcv_1m\ticker=EML\year=2017\month=07\minute_aggs_EML_2017_07.parquet,D:\ohlcv_daily\ticker=EML\year=2017\day_aggs_EML_2017.parquet,mid,odd_lot_dom,sev_low,57f_stratified_v0_1,0002a481cb049127d6b62a588bd823967c6cfb9b
NVEC,2017-11-21,SOFT_FAIL__control,76.06490872210954,0.0,2,0.10372484733208254,~1x,~1x,1.8255578093306288,0.0,0.0,26.857142857142858,40.51724137931034,0.0,0.0,6.617647058823529,493.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\NVEC\year=2017\month=11\day=2017-11-21\market.parquet,[],['off_session_trades_present' 'trade_price_outside_1m_range'],87.23,91.116,89.5953,87.0,91.44,89.50236741185827,493.0,True,True,D:\ohlcv_1m\ticker=NVEC\year=2017\month=11\minute_aggs_NVEC_2017_11.parquet,D:\ohlcv_daily\ticker=NVEC\year=2017\day_aggs_NVEC_2017.parquet,mid,odd_lot_dom,sev_mid,57f_stratified_v0_1,00035eff0b9a7a0b162785e293004a97cb9c6394
TKAT,2021-05-24,SOFT_FAIL__control,67.64610213596444,2.1034370595251,12,0.22713325749969832,~1x,~1x,0.0,0.0,0.0,14.309745430077381,21.506826226192484,0.0,0.0,0.0,9223.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\TKAT\year=2021\month=05\day=2021-05-24\market.parquet,[],['duplicate_exact_trade_rows_present'],14.63,17.77,15.9081,14.63,17.77,15.87196741426369,9223.0,True,True,D:\ohlcv_1m\ticker=TKAT\year=2021\month=05\minute_aggs_TKAT_2021_05.parquet,D:\ohlcv_daily\ticker=TKAT\year=2021\day_aggs_TKAT_2021.parquet,recent,duplicate_burst,sev_low,57f_stratified_v0_1,00008bff785ea3dcaa20b2df3ae48a4166ab70da
GLTA,2023-02-14,HARD_FAIL__control,53.333333333333336,13.333333333333334,2,0.001755666663924393,~1x,~1x,40.0,0.0,0.0,22.22222222222222,100.0,0.0,0.0,75.0,15.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\GLTA\year=2023\month=02\day=2023-02-14\market.parquet,['duplicate_excess_ratio_gt_hard_cap'],['off_session_trades_present' 'trade_price_outside_1m_range'],10.31,10.32,10.3195,10.31,10.33,10.319681176021383,15.0,True,True,D:\ohlcv_1m\ticker=GLTA\year=2023\month=02\minute_aggs_GLTA_2023_02.parquet,D:\ohlcv_daily\ticker=GLTA\year=2023\day_aggs_GLTA_2023.parquet,recent,duplicate_burst,sev_mid,57f_stratified_v0_1,0006f4eb131c11dd2aa1ccf629a1565c303b47bc
SGC,2023-02-16,SOFT_FAIL__control,65.15151515151516,0.3787878787878788,2,0.053279964653191215,~1x,~1x,2.272727272727273,0.0,0.0,30.104712041884817,58.080808080808076,0.0,0.0,6.666666666666667,528.0,review_microstructure,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SGC\year=2023\month=02\day=2023-02-16\market.parquet,[],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",11.27,11.9999,11.5719,11.2,11.9999,11.565734495770297,528.0,True,True,D:\ohlcv_1m\ticker=SGC\year=2023\month=02\minute_aggs_SGC_2023_02.parquet,D:\ohlcv_daily\ticker=SGC\year=2023\day_aggs_SGC_2023.parquet,recent,mixed_micro,sev_high,57f_stratified_v0_1,00079e326d438c75ccafa043fd5c2b76dab1955e
