ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
VALU,2012-07-06,SOFT_FAIL__control,100.0,0.0,1,0.823045267489709,~1x,~1x,100.0,,,,,,,100.0,1.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\VALU\year=2012\month=07\day=2012-07-06\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],12.15,12.15,12.15,12.05,12.05,12.05,1.0,False,True,D:\ohlcv_1m\ticker=VALU\year=2012\month=07\minute_aggs_VALU_2012_07.parquet,D:\ohlcv_daily\ticker=VALU\year=2012\day_aggs_VALU_2012.parquet,early,daily_gt_5,sev_high,57f_stratified_v0_1,0071f0b93252359a4eea004ae68d9c6601c7f5a5
AMRB,2014-01-10,SOFT_FAIL__control,100.0,0.0,1,0.09053870529650897,~1x,~1x,100.0,,,,,,,100.0,1.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\AMRB\year=2014\month=01\day=2014-01-10\market.parquet,[],['missing_ohlcv_1m_reference' 'off_session_trades_present' 'rows_lt_10'],9.5,9.5,9.4987,9.4901,9.4901,9.4901,1.0,False,True,D:\ohlcv_1m\ticker=AMRB\year=2014\month=01\minute_aggs_AMRB_2014_01.parquet,D:\ohlcv_daily\ticker=AMRB\year=2014\day_aggs_AMRB_2014.parquet,mid,daily_gt_5,sev_high,57f_stratified_v0_1,019f9d4ee1df6ae1b23bf95c28d4278cb16e2080
CIX,2017-11-14,HARD_FAIL__daily_range__unconfirmed__0.25-0.50,100.0,0.0,1,0.04105976698068915,~1x,~1x,92.3076923076923,,,,,,,90.0,13.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CIX\year=2017\month=11\day=2017-11-14\market.parquet,['trade_price_outside_daily_range'],['missing_ohlcv_1m_reference' 'off_session_trades_present'],13.9,13.9,13.8938,13.5,14.05,13.888095238095238,13.0,False,True,D:\ohlcv_1m\ticker=CIX\year=2017\month=11\minute_aggs_CIX_2017_11.parquet,D:\ohlcv_daily\ticker=CIX\year=2017\day_aggs_CIX_2017.parquet,mid,daily_gt_5,sev_high,57f_stratified_v0_1,011013fb954d75d9376cb71f8a8f6823a9e061b6
CPHC,2018-08-21,HARD_FAIL__daily_range__unconfirmed__0.10-0.25,100.0,0.0,1,0.159511640716076,~1x,~1x,100.0,,,,,,,100.0,10.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CPHC\year=2018\month=08\day=2018-08-21\market.parquet,['trade_price_outside_daily_range'],['missing_ohlcv_1m_reference'],15.05,15.05,15.1073,14.9,15.3,15.1313979020979,10.0,False,True,D:\ohlcv_1m\ticker=CPHC\year=2018\month=08\minute_aggs_CPHC_2018_08.parquet,D:\ohlcv_daily\ticker=CPHC\year=2018\day_aggs_CPHC_2018.parquet,mid,daily_gt_5,sev_high,57f_stratified_v0_1,0103f19db37394dc5f5a563849dc6f7a586eaeda
CWBC,2014-04-07,HARD_FAIL__control,100.0,0.0,2,0.32058839533491534,~1x,~1x,100.0,,,,,,,100.0,3.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CWBC\year=2014\month=04\day=2014-04-07\market.parquet,['duplicate_excess_ratio_gt_hard_cap'],['missing_ohlcv_1m_reference' 'rows_lt_10'],6.79,6.79,6.7856,6.76,6.81,6.763846153846154,3.0,False,True,D:\ohlcv_1m\ticker=CWBC\year=2014\month=04\minute_aggs_CWBC_2014_04.parquet,D:\ohlcv_daily\ticker=CWBC\year=2014\day_aggs_CWBC_2014.parquet,mid,daily_gt_5,sev_high,57f_stratified_v0_1,01ea2bced11564f5e0f9a10f57ca23e0abc454a7
CZWI,2016-05-20,HARD_FAIL__daily_range__unconfirmed__0.10-0.25,100.0,0.0,1,1.2304020410682621,~1x,~1x,100.0,,,,,,,100.0,3.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CZWI\year=2016\month=05\day=2016-05-20\market.parquet,['trade_price_outside_daily_range'],['missing_ohlcv_1m_reference' 'rows_lt_10'],9.11,9.11,9.2088,9.06,9.36,9.322105263157894,3.0,False,True,D:\ohlcv_1m\ticker=CZWI\year=2016\month=05\minute_aggs_CZWI_2016_05.parquet,D:\ohlcv_daily\ticker=CZWI\year=2016\day_aggs_CZWI_2016.parquet,mid,daily_gt_5,sev_high,57f_stratified_v0_1,01ba1ca97e635d0409af5a2da5d80915e50e94b3
EVBN,2014-08-18,HARD_FAIL__daily_range__unconfirmed__0.25-0.50,100.0,0.0,2,0.35359795414324163,~1x,~1x,100.0,,,,,,,100.0,8.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\EVBN\year=2014\month=08\day=2014-08-18\market.parquet,['duplicate_excess_ratio_gt_hard_cap' 'trade_price_outside_daily_range'],['missing_ohlcv_1m_reference' 'rows_lt_10'],23.44,23.44,23.3424,23.09,23.46,23.25986175115207,8.0,False,True,D:\ohlcv_1m\ticker=EVBN\year=2014\month=08\minute_aggs_EVBN_2014_08.parquet,D:\ohlcv_daily\ticker=EVBN\year=2014\day_aggs_EVBN_2014.parquet,mid,daily_gt_5,sev_high,57f_stratified_v0_1,00d7437c8f2591ccef2b919a1c02a869028a90ef
ICCH,2018-09-14,SOFT_FAIL__control,100.0,0.0,1,0.46376592464703686,~1x,~1x,85.71428571428571,,,,,,,80.0,7.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ICCH\year=2018\month=09\day=2018-09-14\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],15.05,15.05,15.1005,15.03,15.2,15.170530973451326,7.0,False,True,D:\ohlcv_1m\ticker=ICCH\year=2018\month=09\minute_aggs_ICCH_2018_09.parquet,D:\ohlcv_daily\ticker=ICCH\year=2018\day_aggs_ICCH_2018.parquet,mid,daily_gt_5,sev_high,57f_stratified_v0_1,0047f7873b6d9859b2be814f9e7c8948a13cc204
ISRL,2014-04-25,HARD_FAIL__daily_range__unconfirmed__1-5,100.0,0.0,2,0.9905999860706959,~1x,~1x,100.0,,,,,,,100.0,12.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ISRL\year=2014\month=04\day=2014-04-25\market.parquet,['trade_price_outside_daily_range'],['duplicate_excess_ratio_gt_threshold' 'missing_ohlcv_1m_reference'],133.45,133.45,133.7066,133.01,137.0,135.0310975609756,12.0,False,True,D:\ohlcv_1m\ticker=ISRL\year=2014\month=04\minute_aggs_ISRL_2014_04.parquet,D:\ohlcv_daily\ticker=ISRL\year=2014\day_aggs_ISRL_2014.parquet,mid,daily_gt_5,sev_high,57f_stratified_v0_1,0093956084e636fb9d83326b03420bf91fcc780f
ITIC,2016-01-21,SOFT_FAIL__control,100.0,0.0,1,0.2595718785797275,~1x,~1x,100.0,,,,,,,100.0,5.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ITIC\year=2016\month=01\day=2016-01-21\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],84.84,84.84,84.5417,84.0,84.88,84.32225352112677,5.0,False,True,D:\ohlcv_1m\ticker=ITIC\year=2016\month=01\minute_aggs_ITIC_2016_01.parquet,D:\ohlcv_daily\ticker=ITIC\year=2016\day_aggs_ITIC_2016.parquet,mid,daily_gt_5,sev_high,57f_stratified_v0_1,018bbdae0981fdb0ebc843553bc9435dc3c64150
