acceptance_label,stratum_key,population_count,quota
bad_data,early|duplicate_break|sev_low,1618,6
bad_data,early|mixed_bad|sev_low,1504,5
bad_data,early|range_break|sev_low,2343,8
bad_data,early|scale_break|sev_high,45,1
bad_data,early|scale_break|sev_mid,11,1
bad_data,mid|duplicate_break|sev_low,504,1
bad_data,mid|mixed_bad|sev_low,2078,7
bad_data,mid|range_break|sev_low,2830,10
bad_data,mid|scale_break|sev_high,5,1
bad_data,mid|scale_break|sev_mid,2,0
bad_data,recent|duplicate_break|sev_low,30,1
bad_data,recent|mixed_bad|sev_low,3310,12
bad_data,recent|range_break|sev_low,1585,5
bad_data,recent|scale_break|sev_high,3,1
bad_data,recent|scale_break|sev_mid,1,1
good,early|good|pristine,7,7
good,mid|good|pristine,19,19
good,recent|good|pristine,80,80
reference_scale_mismatch,early|<1x_other|sev_high,13474,0
reference_scale_mismatch,early|>1x_other|sev_high,195802,4
reference_scale_mismatch,early|near_0.1x|sev_high,5,0
reference_scale_mismatch,early|near_0.25x|sev_high,202,0
reference_scale_mismatch,early|near_0.2x|sev_high,5,0
reference_scale_mismatch,early|near_0.3333x|sev_high,737,0
reference_scale_mismatch,early|near_0.5x|sev_high,1359,0
reference_scale_mismatch,early|near_0.6667x|sev_high,3051,0
reference_scale_mismatch,early|near_0.8x|sev_high,10066,0
reference_scale_mismatch,early|near_0.8x|sev_mid,287,0
reference_scale_mismatch,early|near_0.9091x|sev_low,1576,0
reference_scale_mismatch,early|near_0.9091x|sev_mid,4675,0
reference_scale_mismatch,early|near_1.1111x|sev_mid,27,0
reference_scale_mismatch,early|near_1.25x|sev_high,19,0
reference_scale_mismatch,early|near_1.25x|sev_mid,4,0
reference_scale_mismatch,early|near_1.5x|sev_high,17,0
reference_scale_mismatch,early|near_10000x|sev_high,980,0
reference_scale_mismatch,early|near_1000x|sev_high,1268,0
reference_scale_mismatch,early|near_100x|sev_high,19,0
reference_scale_mismatch,early|near_10x|sev_high,5287,0
reference_scale_mismatch,early|near_12x|sev_high,6131,0
reference_scale_mismatch,early|near_150x|sev_high,2876,0
reference_scale_mismatch,early|near_15x|sev_high,8282,0
reference_scale_mismatch,early|near_1x|sev_low,1766,0
reference_scale_mismatch,early|near_20x|sev_high,3062,0
reference_scale_mismatch,early|near_2x|sev_high,240,0
reference_scale_mismatch,early|near_30000x|sev_high,465,0
reference_scale_mismatch,early|near_300x|sev_high,16,0
