target_name,current_canonical_path,future_target_path,reference_hits,unique_source_files
policy_explanation_standard.md,01_foundations/module_contracts/policy_explanation_standard.md,module_contracts/governance/policy_explanation_standard.md,20,20
price_semantics_and_adjustment_policy.md,01_foundations/module_contracts/price_semantics_and_adjustment_policy.md,module_contracts/transversal/price_semantics_and_adjustment_policy.md,13,10
pipeline_price_view_policy.md,01_foundations/module_contracts/pipeline_price_view_policy.md,module_contracts/transversal/pipeline_price_view_policy.md,8,8
external_price_comparison_caveats.md,01_foundations/module_contracts/external_price_comparison_caveats.md,module_contracts/transversal/external_price_comparison_caveats.md,9,7
market_session_scope.md,01_foundations/module_contracts/market_session_scope.md,module_contracts/transversal/market_session_scope.md,8,6
corporate_actions_adjustment_methodology.md,01_foundations/module_contracts/corporate_actions_adjustment_methodology.md,module_contracts/transversal/corporate_actions_adjustment_methodology.md,6,6
price_views_registry.md,01_foundations/module_contracts/price_views_registry.md,module_contracts/transversal/price_views_registry.md,6,6
data_storage_topology_and_target_state.md,01_foundations/module_contracts/data_storage_topology_and_target_state.md,module_contracts/transversal/data_storage_topology_and_target_state.md,5,5
event_families_and_reference_inventory.md,01_foundations/module_contracts/event_families_and_reference_inventory.md,module_contracts/transversal/event_families_and_reference_inventory.md,5,5
ohlcv_1m_split_normalized_incremental_materialization_plan_v0_1.md,01_foundations/module_contracts/ohlcv_1m_split_normalized_incremental_materialization_plan_v0_1.md,module_contracts/minute/ohlcv_1m_split_normalized_incremental_materialization_plan_v0_1.md,5,5
ohlcv_1m_split_normalized_operational_landing_v0_1.md,01_foundations/module_contracts/ohlcv_1m_split_normalized_operational_landing_v0_1.md,module_contracts/minute/ohlcv_1m_split_normalized_operational_landing_v0_1.md,5,5
bad_evidence_and_rehabilitation.md,01_foundations/module_contracts/bad_evidence_and_rehabilitation.md,module_contracts/transversal/bad_evidence_and_rehabilitation.md,5,4
auditoria_and_certification_source_hierarchy.md,01_foundations/module_contracts/auditoria_and_certification_source_hierarchy.md,module_contracts/transversal/auditoria_and_certification_source_hierarchy.md,4,4
intraday_regime_features_consumer_contract_v0_1.md,01_foundations/module_contracts/intraday_regime_features_consumer_contract_v0_1.md,module_contracts/consumers/intraday_regime_features_consumer_contract_v0_1.md,4,4
ohlcv_1m_split_normalized_pilot_manifest_v0_2.md,01_foundations/module_contracts/ohlcv_1m_split_normalized_pilot_manifest_v0_2.md,module_contracts/minute/ohlcv_1m_split_normalized_pilot_manifest_v0_2.md,4,4
ohlcv_1m_split_normalized_pilot_results_v0_1.md,01_foundations/module_contracts/ohlcv_1m_split_normalized_pilot_results_v0_1.md,module_contracts/minute/ohlcv_1m_split_normalized_pilot_results_v0_1.md,4,4
ohlcv_1m_split_normalized_semantic_pilot_v0_1.md,01_foundations/module_contracts/ohlcv_1m_split_normalized_semantic_pilot_v0_1.md,module_contracts/minute/ohlcv_1m_split_normalized_semantic_pilot_v0_1.md,4,4
daily_acceptance_policy_explained.md,01_foundations/module_contracts/daily_acceptance_policy_explained.md,module_contracts/daily/daily_acceptance_policy_explained.md,3,3
daily_return_labels_consumer_contract_v0_1.md,01_foundations/module_contracts/daily_return_labels_consumer_contract_v0_1.md,module_contracts/consumers/daily_return_labels_consumer_contract_v0_1.md,3,3
daily_rules_explained_line_by_line.md,01_foundations/module_contracts/daily_rules_explained_line_by_line.md,module_contracts/daily/daily_rules_explained_line_by_line.md,3,3
inspection_dossier_model.md,01_foundations/module_contracts/inspection_dossier_model.md,module_contracts/transversal/inspection_dossier_model.md,3,3
intraday_regime_features_operational_landing_v0_1.md,01_foundations/module_contracts/intraday_regime_features_operational_landing_v0_1.md,module_contracts/consumers/intraday_regime_features_operational_landing_v0_1.md,3,3
intraday_regime_features_variable_taxonomy_v0_1.md,01_foundations/module_contracts/intraday_regime_features_variable_taxonomy_v0_1.md,module_contracts/consumers/intraday_regime_features_variable_taxonomy_v0_1.md,3,3
layer_validation_standard_v0_1.md,01_foundations/module_contracts/layer_validation_standard_v0_1.md,module_contracts/governance/layer_validation_standard_v0_1.md,3,3
