taxonomy,files,tickers,dates,hard_fail_files,soft_fail_files,crossed_ratio_median_pct,crossed_ratio_p90_pct,pct,block,scope
clean_pass_or_other,4361934,4815,5337,0,0,0.0,0.0,45.79327498469335,quotes,ticker_date_file
soft_crossed_micro_noise,1924034,4611,5336,0,1924034,0.03274394237066143,0.08038585209003216,20.199255202371123,quotes,ticker_date_file
persistent_soft_crossed_low,887600,4776,5335,0,887600,0.16863406408094433,0.2655883779579688,9.318369071245419,quotes,ticker_date_file
persistent_soft_crossed_mid_thin_scale,558372,4722,5335,0,558372,0.4721435316336166,0.7142857142857143,5.862005830384686,quotes,ticker_date_file
utc_rollover_large_day_clean,542446,4639,1729,0,542446,0.0,0.05111951749113233,5.694808505205941,quotes,ticker_date_file
small_file_threshold_edge_hard,321772,3246,5332,321772,0,2.380952380952381,4.25531914893617,3.378087260920213,quotes,ticker_date_file
medium_file_threshold_edge_hard_few_crosses,220181,3947,5333,220181,0,1.238390092879257,2.6595744680851063,2.311545539067021,quotes,ticker_date_file
high_hard_crossed_5_to_20,168534,3241,5328,168534,0,6.666666666666667,9.090909090909092,1.769335300871198,quotes,ticker_date_file
utc_rollover_large_day_with_soft_crossed,118856,4491,1757,0,118856,0.22102936532996525,0.5507558065093979,1.2477963883865995,quotes,ticker_date_file
high_hard_crossed_10_to_20,101549,2572,5300,101549,0,13.043478260869565,17.647058823529413,1.0661007895627548,quotes,ticker_date_file
medium_file_threshold_edge_hard_many_crosses,85963,3871,5320,85963,0,2.0202020202020203,4.156711520480403,0.9024729162589793,quotes,ticker_date_file
extreme_hard_crossed_gt20_non_integerized,71080,1947,4731,71080,0,30.76923076923077,55.55555555555556,0.7462254096260978,quotes,ticker_date_file
large_file_threshold_edge_hard_many_crosses,50288,2828,4819,50288,0,1.5225045640344486,3.638551856395101,0.5279429290838099,quotes,ticker_date_file
large_file_threshold_edge_hard_few_crosses,48434,3396,5245,48434,0,1.114476586617436,2.0538776125118097,0.5084789179773553,quotes,ticker_date_file
persistent_soft_crossed_mid_large_scale,47076,2615,4544,0,47076,0.4353414773425088,0.6821229527032022,0.4942221072532102,quotes,ticker_date_file
extreme_hard_crossed_gt20_integerized,7762,661,2841,7762,0,54.54545454545454,85.71428571428571,0.0814884866279934,quotes,ticker_date_file
extreme_integerized_100pct_crossed,4592,446,1930,4592,0,100.0,100.0,0.04820859708783119,quotes,ticker_date_file
rounded_ask_pattern_without_cross_hard,3562,1230,2436,0,0,0.0,0.0,0.03739525758424536,quotes,ticker_date_file
extreme_hard_crossed_gt20_non_integerized_with_utc_rollover,1237,359,540,1237,0,27.77777777777778,50.0,0.012986505792170555,quotes,ticker_date_file
