experiment_id,sweep_id,run_dir,run_position,candidate_id,ticker,session_date,strategy_id,scanner_gate_ts_utc,scanner_gate_ts_et,scanner_gate_price,scanner_gate_prior_close_pct,scanner_gate_accumulated_volume,threshold_pct,prior_close,pm_open_price,market_cap,market_cap_filter_pass,price_gate_pass_candidate,visual_price_source,visual_quote_guarded_changed_rows,visual_quote_guarded_eligible_rows,scale_guard_triggered,scale_ratio,data_quality_state,builder_id,created_utc
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,1,das_scanner_appearance:SYRA:2024-02-08T14:03:00+00:00,SYRA,2024-02-08,das,2024-02-08T14:03:00+00:00,2024-02-08 09:03:00 EST,5.25,372.5897920604915,688517.0,50.0,1.1109,1.2,2356301.2032,True,True,raw_1m_no_visual_quotes_available,0,0,,,research_candidate,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,2,das_scanner_appearance:SRXH:2025-12-16T13:30:00+00:00,SRXH,2025-12-16,das,2025-12-16T13:30:00+00:00,2025-12-16 08:30:00 EST,0.7939,167.57667677789013,792620.0,50.0,0.2967,0.2828,36798828.2056,True,True,raw_1m_no_visual_quotes_available,0,0,,,research_candidate,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,3,das_scanner_appearance:SONN:2025-07-14T10:02:00+00:00,SONN,2025-07-14,das,2025-07-14T10:02:00+00:00,2025-07-14 06:02:00 EDT,12.4,151.01214574898785,672086.0,50.0,4.94,5.26,8602463.52,True,True,raw_1m_plus_quotes_q01_q99_visual_guard,47,232,False,0.9986850858286195,research_candidate,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,4,das_scanner_appearance:MSS:2025-09-29T12:30:00+00:00,MSS,2025-09-29,das,2025-09-29T12:30:00+00:00,2025-09-29 08:30:00 EDT,2.78,195.68176983620504,1427239.0,50.0,0.9402,0.9474,5777590.308,True,True,raw_1m_plus_quotes_q01_q99_visual_guard,68,94,False,0.9963349923719805,research_candidate,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,5,das_scanner_appearance:MWYN:2025-09-10T08:14:00+00:00,MWYN,2025-09-10,das,2025-09-10T08:14:00+00:00,2025-09-10 04:14:00 EDT,1.43,66.29840679148738,965323.0,50.0,0.8599,0.9048,15348051.040000001,True,True,raw_1m_plus_quotes_q01_q99_visual_guard,62,354,False,0.998395382595041,research_candidate,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,6,das_scanner_appearance:CAMP:2025-09-10T11:01:00+00:00,CAMP,2025-09-10,das,2025-09-10T11:01:00+00:00,2025-09-10 07:01:00 EDT,5.97,203.0456852791878,640995.0,50.0,1.97,1.83,660337.2000000001,True,True,raw_1m_plus_quotes_q01_q99_visual_guard,54,182,False,0.9985104325180455,research_candidate,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,7,das_scanner_appearance:INM:2024-08-20T11:38:00+00:00,INM,2024-08-20,das,2024-08-20T11:38:00+00:00,2024-08-20 07:38:00 EDT,9.118,208.04054054054055,546572.4,50.0,2.96,2.954,2585523.0402,True,True,raw_1m_quote_guard_skipped_scale_mismatch,0,152,True,20.03011961879819,scale_mismatch_review,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,8,das_scanner_appearance:HTOO:2025-07-22T12:02:00+00:00,HTOO,2025-07-22,das,2025-07-22T12:02:00+00:00,2025-07-22 08:02:00 EDT,13.2401,211.16568742655696,728814.0,50.0,4.255,4.44,7858155.3,True,True,raw_1m_plus_quotes_q01_q99_visual_guard,41,103,False,1.0007366638442,research_candidate,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,9,das_scanner_appearance:DALN:2025-07-10T12:02:00+00:00,DALN,2025-07-10,das,2025-07-10T12:02:00+00:00,2025-07-10 08:02:00 EDT,12.92,194.30523917995447,683443.0,50.0,4.39,4.39,88369609.9,True,True,raw_1m_plus_quotes_q01_q99_visual_guard,13,110,False,1.0,research_candidate,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
EXP_DAS_FRONTSIDE_DISCOVERY_0002,baseline_threshold50_from_das_run_20260628T114046Z,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z,10,das_scanner_appearance:CJMB:2026-01-15T13:46:00+00:00,CJMB,2026-01-15,das,2026-01-15T13:46:00+00:00,2026-01-15 08:46:00 EST,3.18,183.9032229265244,1673249.0,50.0,1.1201,1.1794,8090297.25,True,True,raw_1m_plus_quotes_q01_q99_visual_guard,58,73,False,1.0061383285302594,research_candidate,build_das_frontside_discovery_panel_v0_1,2026-07-06T15:30:25+00:00
