date,ticker,side,entry_time,exit_time,entry_price,exit_price,shares,pnl,commissions
2023-04-12,LSDI,long,07:22:13,07:32:01,0.5175,0.4777,580,-23.09,0.0165
2023-04-12,ATHE,long,07:37:46,07:46:51,7.1075,7.2069,120,11.93,0.0036
2023-04-12,ATHE,long,07:50:46,07:54:02,7.07,7.0577,30,-0.37,0.0006
2023-04-12,SSNT,long,08:02:48,08:03:03,10.16,11.27,10,11.1,0.0003
2023-04-12,SSNT,long,08:06:58,08:19:42,9.91,8.1691,50,-87.04,0.0012
2023-04-12,SSNT,short,08:52:57,09:30:12,7.9685,7.9443,46,1.11,0.0011
2023-04-12,ATHE,short,09:07:50,09:19:15,5.22,4.7937,30,12.79,0.0006
2023-04-12,SSNT,long,09:31:14,09:32:04,7.845,7.52,20,-6.5,0.0005
2023-04-12,SSNT,short,09:32:04,09:32:10,7.52,7.56,10,-0.4,0.0003
2023-04-12,SSNT,long,09:32:10,10:35:03,8.791,9.0734,295,83.3,0.0085
2023-04-12,ATHE,short,09:33:25,09:35:21,4.96,4.695,10,2.65,0.0002
2023-04-12,VIEW,short,09:37:07,11:34:19,1.6743,1.6208,717,38.38,0.0201
2023-04-12,SSNT,long,10:41:53,11:35:16,10.8128,10.7819,187,-5.77,0.0047
2023-04-12,MINM,short,12:13:08,12:25:30,4.38,3.8708,40,20.37,0.001
2023-04-12,MINM,long,12:25:30,12:26:01,3.5167,3.41,15,-1.6,0.0004
2023-04-12,SSNT,long,12:39:34,12:58:28,10.0592,9.8069,131,-33.05,0.004
2023-04-12,VIEW,long,12:59:39,13:19:53,2.2228,2.3746,145,22.01,0.0039
2023-04-12,ATHE,short,13:19:42,13:22:58,4.54,4.6333,60,-5.6,0.0015
2023-04-12,ATHE,short,13:23:01,15:54:36,4.5528,4.3548,250,49.51,0.0068
2023-04-12,SSNT,long,13:44:47,14:02:58,10.6212,10.1407,170,-81.68,0.0045
2023-04-12,SSNT,long,14:17:09,14:40:23,10.295,10.3397,60,2.68,0.0016
2023-04-12,SSNT,short,15:21:08,15:22:11,11.61,11.745,30,-4.05,0.0009
2023-04-12,SSNT,long,15:22:11,15:42:45,11.57,10.9974,105,-60.12,0.003
2023-04-12,SSNT,long,15:53:03,16:00:09,11.42,12.1108,40,27.63,0.0011
2023-04-12,SSNT,short,16:00:09,16:00:30,13.0,12.68,3,0.96,0.0
2023-05-12,NRSN,short,08:04:14,08:06:29,1.7833,1.7434,180,7.18,0.0051
2023-05-12,ALLR,short,08:41:58,13:28:11,0.9923,0.8905,270,27.49,0.007
2023-05-12,SSNT,short,09:54:17,10:56:26,10.0367,9.7022,90,30.1,0.0027
2023-05-12,CYTO,short,13:45:31,14:55:47,0.4001,0.3724,300,8.31,0.0078
2023-05-12,CHSN,long,14:06:06,14:08:50,5.34,5.0645,40,-11.02,0.0011
2023-06-12,ZVSA,long,07:29:04,07:37:26,4.0125,3.8749,240,-33.02,0.0064
2023-06-12,MLGO,short,08:09:35,08:50:29,4.374,4.4778,400,-41.54,0.0108
2023-06-12,MLGO,long,08:50:33,09:26:41,4.5175,4.484,440,-14.76,0.0122
2023-06-12,SERA,long,08:52:19,08:53:49,3.395,3.38,80,-1.2,0.0023
2023-06-12,SERA,long,09:10:07,09:16:43,3.95,4.2331,90,25.48,0.0022
2023-06-12,SERA,long,09:22:11,09:39:37,5.1322,5.2701,270,37.23,0.0076
2023-06-12,SERA,short,09:45:06,09:46:59,5.14,5.011,40,5.16,0.0011
2023-06-12,SERA,short,09:47:54,10:03:21,5.4521,5.3447,67,7.2,0.0017
2023-06-12,LGHL,long,09:54:01,09:56:12,1.42,1.2999,170,-20.41,0.0048
2023-06-12,MLGO,short,10:01:47,10:18:26,4.3491,4.2996,259,12.81,0.0077
2023-06-12,SERA,long,10:12:40,10:17:22,6.805,7.3377,60,31.96,0.0014
2023-06-12,SERA,long,10:19:53,10:27:10,8.7367,8.9767,60,14.4,0.0011
2023-06-12,SERA,long,10:30:24,10:50:59,8.1622,8.301,90,12.49,0.0021
2023-06-12,MLGO,long,10:42:14,10:43:01,5.3433,5.3632,180,3.58,0.0051
2023-06-12,SERA,short,11:18:02,11:18:09,7.7006,7.8294,40,-5.15,0.0012
2023-06-12,SERA,long,11:18:42,11:19:59,8.0,8.0529,40,2.12,0.0011
2023-06-12,MLGO,long,11:46:14,11:47:12,6.04,6.2503,60,12.62,0.0017
2023-06-12,MLGO,long,11:51:06,11:56:50,6.4123,6.4006,160,-1.87,0.0041
2023-06-12,SERA,long,12:02:08,13:27:19,6.9113,7.0315,103,12.39,0.0027
2023-06-12,MLGO,short,12:52:44,13:15:12,6.3132,6.2743,150,5.84,0.0045
2023-06-12,MLGO,long,14:18:24,14:20:17,6.99,7.1937,120,24.44,0.0028
2023-06-12,MLGO,short,14:20:17,14:20:30,8.06,7.91,1,0.15,0.0
2023-06-12,MLGO,long,14:22:17,14:33:15,7.8,7.9555,220,34.22,0.0062
2023-06-12,MLGO,long,14:35:26,14:54:52,8.4799,8.4405,230,-9.06,0.0061
2023-06-12,MLGO,short,14:54:52,14:54:54,8.12,8.0794,8,0.32,0.0002
2023-07-12,SVFD,long,08:23:36,08:37:28,4.0062,4.049,240,10.26,0.007
2023-07-12,SVFD,long,08:49:41,09:34:18,4.3969,4.4092,420,5.18,0.0117
2023-07-12,MLGO,short,09:40:59,11:01:24,15.42,12.766,30,79.62,0.0007
2023-07-12,SVFD,long,09:43:12,09:44:18,5.92,6.3587,30,13.16,0.0007
2023-07-12,SVFD,long,09:44:51,09:53:07,6.0171,6.123,140,14.83,0.0037
2023-07-12,SVFD,long,09:55:05,10:09:55,6.0388,6.1685,80,10.38,0.0022
2023-07-12,ALT,long,10:02:08,10:07:19,8.0115,8.0422,130,3.99,0.0042
2023-07-12,ZVSA,short,10:12:05,10:35:16,1.66,1.4238,40,9.45,0.0011
